year,district,subject,grade,subgroup_code,subgroup,tested,pct_met
2019,Dublin USD,ELA,3,1,All Students,1007,79.15
2019,Dublin USD,ELA,3,3,Female,494,72.06
2019,Dublin USD,ELA,3,4,Male,513,85.96
2019,Dublin USD,ELA,3,31,Econ Disadvantaged,61,45.9
2019,Dublin USD,ELA,3,74,Black/African American,20,55.0
2019,Dublin USD,ELA,3,75,American Indian,7,
2019,Dublin USD,ELA,3,76,Asian,589,87.61
2019,Dublin USD,ELA,3,77,Filipino,35,74.29
2019,Dublin USD,ELA,3,78,Hispanic/Latino,110,58.18
2019,Dublin USD,ELA,3,79,Pacific Islander,,
2019,Dublin USD,ELA,3,80,White,151,72.19
2019,Dublin USD,ELA,3,99,Non-SWD,953,81.64
2019,Dublin USD,ELA,3,111,Not Econ Disadv,946,81.29
2019,Dublin USD,ELA,3,128,SWD,54,35.19
2019,Dublin USD,ELA,3,144,Two or More Races,92,71.74
2019,Dublin USD,ELA,3,160,English Learner,65,30.77
2019,Dublin USD,ELA,3,180,English Only,617,77.47
2019,Dublin USD,ELA,4,1,All Students,949,78.08
2019,Dublin USD,ELA,4,3,Female,510,74.9
2019,Dublin USD,ELA,4,4,Male,439,81.78
2019,Dublin USD,ELA,4,31,Econ Disadvantaged,52,28.85
2019,Dublin USD,ELA,4,74,Black/African American,25,52.0
2019,Dublin USD,ELA,4,75,American Indian,5,
2019,Dublin USD,ELA,4,76,Asian,537,86.78
2019,Dublin USD,ELA,4,77,Filipino,27,85.19
2019,Dublin USD,ELA,4,78,Hispanic/Latino,92,51.09
2019,Dublin USD,ELA,4,79,Pacific Islander,7,
2019,Dublin USD,ELA,4,80,White,167,73.05
2019,Dublin USD,ELA,4,99,Non-SWD,872,81.65
2019,Dublin USD,ELA,4,111,Not Econ Disadv,897,80.94
2019,Dublin USD,ELA,4,128,SWD,77,37.66
2019,Dublin USD,ELA,4,144,Two or More Races,89,69.66
2019,Dublin USD,ELA,4,160,English Learner,59,28.81
2019,Dublin USD,ELA,4,180,English Only,557,75.22
2019,Dublin USD,ELA,5,1,All Students,1003,80.86
2019,Dublin USD,ELA,5,3,Female,519,75.34
2019,Dublin USD,ELA,5,4,Male,484,86.78
2019,Dublin USD,ELA,5,31,Econ Disadvantaged,60,31.67
2019,Dublin USD,ELA,5,74,Black/African American,35,51.43
2019,Dublin USD,ELA,5,75,American Indian,4,
2019,Dublin USD,ELA,5,76,Asian,542,89.48
2019,Dublin USD,ELA,5,77,Filipino,38,89.47
2019,Dublin USD,ELA,5,78,Hispanic/Latino,117,60.68
2019,Dublin USD,ELA,5,79,Pacific Islander,,
2019,Dublin USD,ELA,5,80,White,187,73.8
2019,Dublin USD,ELA,5,99,Non-SWD,910,84.51
2019,Dublin USD,ELA,5,111,Not Econ Disadv,943,83.99
2019,Dublin USD,ELA,5,128,SWD,93,45.16
2019,Dublin USD,ELA,5,144,Two or More Races,77,77.92
2019,Dublin USD,ELA,5,160,English Learner,46,23.91
2019,Dublin USD,ELA,5,180,English Only,618,78.8
2019,Dublin USD,ELA,6,1,All Students,920,80.98
2019,Dublin USD,ELA,6,3,Female,464,78.45
2019,Dublin USD,ELA,6,4,Male,456,83.55
2019,Dublin USD,ELA,6,31,Econ Disadvantaged,58,65.52
2019,Dublin USD,ELA,6,74,Black/African American,23,65.22
2019,Dublin USD,ELA,6,75,American Indian,,
2019,Dublin USD,ELA,6,76,Asian,492,87.2
2019,Dublin USD,ELA,6,77,Filipino,40,90.0
2019,Dublin USD,ELA,6,78,Hispanic/Latino,93,64.52
2019,Dublin USD,ELA,6,79,Pacific Islander,4,
2019,Dublin USD,ELA,6,80,White,186,72.04
2019,Dublin USD,ELA,6,99,Non-SWD,867,84.54
2019,Dublin USD,ELA,6,111,Not Econ Disadv,862,82.02
2019,Dublin USD,ELA,6,128,SWD,53,22.64
2019,Dublin USD,ELA,6,144,Two or More Races,81,83.95
2019,Dublin USD,ELA,6,160,English Learner,32,18.75
2019,Dublin USD,ELA,6,180,English Only,577,79.72
2019,Dublin USD,ELA,7,1,All Students,919,77.48
2019,Dublin USD,ELA,7,3,Female,462,71.0
2019,Dublin USD,ELA,7,4,Male,457,84.03
2019,Dublin USD,ELA,7,31,Econ Disadvantaged,61,42.62
2019,Dublin USD,ELA,7,74,Black/African American,35,25.71
2019,Dublin USD,ELA,7,75,American Indian,,
2019,Dublin USD,ELA,7,76,Asian,498,89.36
2019,Dublin USD,ELA,7,77,Filipino,36,75.0
2019,Dublin USD,ELA,7,78,Hispanic/Latino,93,49.46
2019,Dublin USD,ELA,7,79,Pacific Islander,5,
2019,Dublin USD,ELA,7,80,White,164,68.9
2019,Dublin USD,ELA,7,99,Non-SWD,864,81.37
2019,Dublin USD,ELA,7,111,Not Econ Disadv,858,79.95
2019,Dublin USD,ELA,7,128,SWD,55,16.36
2019,Dublin USD,ELA,7,144,Two or More Races,86,77.91
2019,Dublin USD,ELA,7,160,English Learner,28,17.86
2019,Dublin USD,ELA,7,180,English Only,547,73.31
2019,Dublin USD,Math,3,1,All Students,1010,80.5
2019,Dublin USD,Math,3,3,Female,496,78.83
2019,Dublin USD,Math,3,4,Male,514,82.1
2019,Dublin USD,Math,3,31,Econ Disadvantaged,61,39.34
2019,Dublin USD,Math,3,74,Black/African American,20,60.0
2019,Dublin USD,Math,3,75,American Indian,7,
2019,Dublin USD,Math,3,76,Asian,593,89.38
2019,Dublin USD,Math,3,77,Filipino,35,77.14
2019,Dublin USD,Math,3,78,Hispanic/Latino,110,50.0
2019,Dublin USD,Math,3,79,Pacific Islander,,
2019,Dublin USD,Math,3,80,White,150,76.0
2019,Dublin USD,Math,3,99,Non-SWD,956,82.95
2019,Dublin USD,Math,3,111,Not Econ Disadv,949,83.14
2019,Dublin USD,Math,3,128,SWD,54,37.04
2019,Dublin USD,Math,3,144,Two or More Races,92,75.0
2019,Dublin USD,Math,3,160,English Learner,69,40.58
2019,Dublin USD,Math,3,180,English Only,616,78.57
2019,Dublin USD,Math,4,1,All Students,952,78.15
2019,Dublin USD,Math,4,3,Female,512,77.73
2019,Dublin USD,Math,4,4,Male,440,78.64
2019,Dublin USD,Math,4,31,Econ Disadvantaged,52,17.31
2019,Dublin USD,Math,4,74,Black/African American,25,32.0
2019,Dublin USD,Math,4,75,American Indian,5,
2019,Dublin USD,Math,4,76,Asian,539,91.09
2019,Dublin USD,Math,4,77,Filipino,27,77.78
2019,Dublin USD,Math,4,78,Hispanic/Latino,92,44.57
2019,Dublin USD,Math,4,79,Pacific Islander,7,
2019,Dublin USD,Math,4,80,White,168,68.45
2019,Dublin USD,Math,4,99,Non-SWD,875,81.71
2019,Dublin USD,Math,4,111,Not Econ Disadv,900,81.67
2019,Dublin USD,Math,4,128,SWD,77,37.66
2019,Dublin USD,Math,4,144,Two or More Races,89,68.54
2019,Dublin USD,Math,4,160,English Learner,64,46.88
2019,Dublin USD,Math,4,180,English Only,556,73.38
2019,Dublin USD,Math,5,1,All Students,1004,74.3
2019,Dublin USD,Math,5,3,Female,520,74.04
2019,Dublin USD,Math,5,4,Male,484,74.59
2019,Dublin USD,Math,5,31,Econ Disadvantaged,61,14.75
2019,Dublin USD,Math,5,74,Black/African American,35,28.57
2019,Dublin USD,Math,5,75,American Indian,4,
2019,Dublin USD,Math,5,76,Asian,545,87.71
2019,Dublin USD,Math,5,77,Filipino,38,63.16
2019,Dublin USD,Math,5,78,Hispanic/Latino,116,45.69
2019,Dublin USD,Math,5,79,Pacific Islander,,
2019,Dublin USD,Math,5,80,White,186,66.13
2019,Dublin USD,Math,5,99,Non-SWD,912,78.4
2019,Dublin USD,Math,5,111,Not Econ Disadv,943,78.15
2019,Dublin USD,Math,5,128,SWD,92,33.7
2019,Dublin USD,Math,5,144,Two or More Races,77,67.53
2019,Dublin USD,Math,5,160,English Learner,49,34.69
2019,Dublin USD,Math,5,180,English Only,616,70.62
2019,Dublin USD,Math,6,1,All Students,921,71.99
2019,Dublin USD,Math,6,3,Female,465,73.55
2019,Dublin USD,Math,6,4,Male,456,70.39
2019,Dublin USD,Math,6,31,Econ Disadvantaged,58,46.55
2019,Dublin USD,Math,6,74,Black/African American,23,43.48
2019,Dublin USD,Math,6,75,American Indian,,
2019,Dublin USD,Math,6,76,Asian,493,83.16
2019,Dublin USD,Math,6,77,Filipino,40,77.5
2019,Dublin USD,Math,6,78,Hispanic/Latino,93,46.24
2019,Dublin USD,Math,6,79,Pacific Islander,4,
2019,Dublin USD,Math,6,80,White,186,58.6
2019,Dublin USD,Math,6,99,Non-SWD,868,75.35
2019,Dublin USD,Math,6,111,Not Econ Disadv,863,73.7
2019,Dublin USD,Math,6,128,SWD,53,16.98
2019,Dublin USD,Math,6,144,Two or More Races,81,70.37
2019,Dublin USD,Math,6,160,English Learner,33,30.3
2019,Dublin USD,Math,6,180,English Only,577,69.5
2019,Dublin USD,Math,7,1,All Students,920,70.87
2019,Dublin USD,Math,7,3,Female,463,70.63
2019,Dublin USD,Math,7,4,Male,457,71.12
2019,Dublin USD,Math,7,31,Econ Disadvantaged,62,25.81
2019,Dublin USD,Math,7,74,Black/African American,35,17.14
2019,Dublin USD,Math,7,75,American Indian,,
2019,Dublin USD,Math,7,76,Asian,498,86.55
2019,Dublin USD,Math,7,77,Filipino,36,69.44
2019,Dublin USD,Math,7,78,Hispanic/Latino,95,35.79
2019,Dublin USD,Math,7,79,Pacific Islander,5,
2019,Dublin USD,Math,7,80,White,163,58.28
2019,Dublin USD,Math,7,99,Non-SWD,866,74.25
2019,Dublin USD,Math,7,111,Not Econ Disadv,858,74.13
2019,Dublin USD,Math,7,128,SWD,54,16.67
2019,Dublin USD,Math,7,144,Two or More Races,86,68.6
2019,Dublin USD,Math,7,160,English Learner,30,20.0
2019,Dublin USD,Math,7,180,English Only,546,66.12
2019,Walnut Valley USD,ELA,3,1,All Students,851,75.91
2019,Walnut Valley USD,ELA,3,3,Female,423,73.05
2019,Walnut Valley USD,ELA,3,4,Male,428,78.74
2019,Walnut Valley USD,ELA,3,31,Econ Disadvantaged,185,63.24
2019,Walnut Valley USD,ELA,3,74,Black/African American,8,
2019,Walnut Valley USD,ELA,3,76,Asian,501,82.44
2019,Walnut Valley USD,ELA,3,77,Filipino,46,86.96
2019,Walnut Valley USD,ELA,3,78,Hispanic/Latino,195,59.49
2019,Walnut Valley USD,ELA,3,79,Pacific Islander,5,
2019,Walnut Valley USD,ELA,3,80,White,43,65.12
2019,Walnut Valley USD,ELA,3,99,Non-SWD,780,79.36
2019,Walnut Valley USD,ELA,3,111,Not Econ Disadv,666,79.43
2019,Walnut Valley USD,ELA,3,128,SWD,71,38.03
2019,Walnut Valley USD,ELA,3,144,Two or More Races,53,77.36
2019,Walnut Valley USD,ELA,3,160,English Learner,123,49.59
2019,Walnut Valley USD,ELA,3,180,English Only,475,74.53
2019,Walnut Valley USD,ELA,4,1,All Students,868,75.12
2019,Walnut Valley USD,ELA,4,3,Female,443,73.36
2019,Walnut Valley USD,ELA,4,4,Male,425,76.94
2019,Walnut Valley USD,ELA,4,31,Econ Disadvantaged,203,63.55
2019,Walnut Valley USD,ELA,4,74,Black/African American,11,36.36
2019,Walnut Valley USD,ELA,4,76,Asian,519,82.47
2019,Walnut Valley USD,ELA,4,77,Filipino,48,81.25
2019,Walnut Valley USD,ELA,4,78,Hispanic/Latino,192,59.38
2019,Walnut Valley USD,ELA,4,79,Pacific Islander,5,
2019,Walnut Valley USD,ELA,4,80,White,46,69.57
2019,Walnut Valley USD,ELA,4,99,Non-SWD,795,78.62
2019,Walnut Valley USD,ELA,4,111,Not Econ Disadv,665,78.65
2019,Walnut Valley USD,ELA,4,128,SWD,73,36.99
2019,Walnut Valley USD,ELA,4,144,Two or More Races,47,70.21
2019,Walnut Valley USD,ELA,4,160,English Learner,111,45.95
2019,Walnut Valley USD,ELA,4,180,English Only,451,72.51
2019,Walnut Valley USD,ELA,5,1,All Students,969,78.74
2019,Walnut Valley USD,ELA,5,3,Female,505,78.22
2019,Walnut Valley USD,ELA,5,4,Male,464,79.31
2019,Walnut Valley USD,ELA,5,31,Econ Disadvantaged,260,70.77
2019,Walnut Valley USD,ELA,5,74,Black/African American,14,50.0
2019,Walnut Valley USD,ELA,5,76,Asian,558,86.02
2019,Walnut Valley USD,ELA,5,77,Filipino,40,80.0
2019,Walnut Valley USD,ELA,5,78,Hispanic/Latino,235,63.4
2019,Walnut Valley USD,ELA,5,79,Pacific Islander,8,
2019,Walnut Valley USD,ELA,5,80,White,63,73.02
2019,Walnut Valley USD,ELA,5,99,Non-SWD,891,82.94
2019,Walnut Valley USD,ELA,5,111,Not Econ Disadv,709,81.66
2019,Walnut Valley USD,ELA,5,128,SWD,78,30.77
2019,Walnut Valley USD,ELA,5,144,Two or More Races,51,82.35
2019,Walnut Valley USD,ELA,5,160,English Learner,123,46.34
2019,Walnut Valley USD,ELA,5,180,English Only,504,76.59
2019,Walnut Valley USD,ELA,6,1,All Students,1075,76.47
2019,Walnut Valley USD,ELA,6,3,Female,543,74.03
2019,Walnut Valley USD,ELA,6,4,Male,532,78.95
2019,Walnut Valley USD,ELA,6,31,Econ Disadvantaged,261,63.98
2019,Walnut Valley USD,ELA,6,74,Black/African American,11,27.27
2019,Walnut Valley USD,ELA,6,75,American Indian,,
2019,Walnut Valley USD,ELA,6,76,Asian,666,82.13
2019,Walnut Valley USD,ELA,6,77,Filipino,27,88.89
2019,Walnut Valley USD,ELA,6,78,Hispanic/Latino,249,61.04
2019,Walnut Valley USD,ELA,6,79,Pacific Islander,17,76.47
2019,Walnut Valley USD,ELA,6,80,White,53,66.04
2019,Walnut Valley USD,ELA,6,99,Non-SWD,1001,80.32
2019,Walnut Valley USD,ELA,6,111,Not Econ Disadv,814,80.47
2019,Walnut Valley USD,ELA,6,128,SWD,74,24.32
2019,Walnut Valley USD,ELA,6,144,Two or More Races,51,92.16
2019,Walnut Valley USD,ELA,6,160,English Learner,108,29.63
2019,Walnut Valley USD,ELA,6,180,English Only,525,75.81
2019,Walnut Valley USD,ELA,7,1,All Students,1127,76.31
2019,Walnut Valley USD,ELA,7,3,Female,566,72.44
2019,Walnut Valley USD,ELA,7,4,Male,561,80.21
2019,Walnut Valley USD,ELA,7,31,Econ Disadvantaged,300,62.0
2019,Walnut Valley USD,ELA,7,74,Black/African American,20,40.0
2019,Walnut Valley USD,ELA,7,76,Asian,632,85.76
2019,Walnut Valley USD,ELA,7,77,Filipino,47,85.11
2019,Walnut Valley USD,ELA,7,78,Hispanic/Latino,283,57.6
2019,Walnut Valley USD,ELA,7,79,Pacific Islander,11,72.73
2019,Walnut Valley USD,ELA,7,80,White,82,65.85
2019,Walnut Valley USD,ELA,7,99,Non-SWD,1038,81.02
2019,Walnut Valley USD,ELA,7,111,Not Econ Disadv,827,81.5
2019,Walnut Valley USD,ELA,7,128,SWD,89,21.35
2019,Walnut Valley USD,ELA,7,144,Two or More Races,52,86.54
2019,Walnut Valley USD,ELA,7,160,English Learner,99,30.3
2019,Walnut Valley USD,ELA,7,180,English Only,581,73.67
2019,Walnut Valley USD,Math,3,1,All Students,864,81.6
2019,Walnut Valley USD,Math,3,3,Female,432,82.87
2019,Walnut Valley USD,Math,3,4,Male,432,80.32
2019,Walnut Valley USD,Math,3,31,Econ Disadvantaged,187,63.64
2019,Walnut Valley USD,Math,3,74,Black/African American,8,
2019,Walnut Valley USD,Math,3,76,Asian,513,91.23
2019,Walnut Valley USD,Math,3,77,Filipino,46,91.3
2019,Walnut Valley USD,Math,3,78,Hispanic/Latino,196,58.67
2019,Walnut Valley USD,Math,3,79,Pacific Islander,5,
2019,Walnut Valley USD,Math,3,80,White,43,67.44
2019,Walnut Valley USD,Math,3,99,Non-SWD,793,85.12
2019,Walnut Valley USD,Math,3,111,Not Econ Disadv,677,86.56
2019,Walnut Valley USD,Math,3,128,SWD,71,42.25
2019,Walnut Valley USD,Math,3,144,Two or More Races,53,79.25
2019,Walnut Valley USD,Math,3,160,English Learner,136,72.79
2019,Walnut Valley USD,Math,3,180,English Only,475,77.47
2019,Walnut Valley USD,Math,4,1,All Students,879,75.65
2019,Walnut Valley USD,Math,4,3,Female,452,76.99
2019,Walnut Valley USD,Math,4,4,Male,427,74.24
2019,Walnut Valley USD,Math,4,31,Econ Disadvantaged,204,67.65
2019,Walnut Valley USD,Math,4,74,Black/African American,11,36.36
2019,Walnut Valley USD,Math,4,76,Asian,530,86.04
2019,Walnut Valley USD,Math,4,77,Filipino,47,85.11
2019,Walnut Valley USD,Math,4,78,Hispanic/Latino,193,53.37
2019,Walnut Valley USD,Math,4,79,Pacific Islander,5,
2019,Walnut Valley USD,Math,4,80,White,46,56.52
2019,Walnut Valley USD,Math,4,99,Non-SWD,806,78.78
2019,Walnut Valley USD,Math,4,111,Not Econ Disadv,675,78.07
2019,Walnut Valley USD,Math,4,128,SWD,73,41.1
2019,Walnut Valley USD,Math,4,144,Two or More Races,47,70.21
2019,Walnut Valley USD,Math,4,160,English Learner,122,65.57
2019,Walnut Valley USD,Math,4,180,English Only,450,68.44
2019,Walnut Valley USD,Math,5,1,All Students,980,73.88
2019,Walnut Valley USD,Math,5,3,Female,512,76.76
2019,Walnut Valley USD,Math,5,4,Male,468,70.73
2019,Walnut Valley USD,Math,5,31,Econ Disadvantaged,260,64.23
2019,Walnut Valley USD,Math,5,74,Black/African American,14,42.86
2019,Walnut Valley USD,Math,5,76,Asian,569,86.82
2019,Walnut Valley USD,Math,5,77,Filipino,40,80.0
2019,Walnut Valley USD,Math,5,78,Hispanic/Latino,235,45.96
2019,Walnut Valley USD,Math,5,79,Pacific Islander,8,
2019,Walnut Valley USD,Math,5,80,White,63,61.9
2019,Walnut Valley USD,Math,5,99,Non-SWD,902,77.94
2019,Walnut Valley USD,Math,5,111,Not Econ Disadv,720,77.36
2019,Walnut Valley USD,Math,5,128,SWD,78,26.92
2019,Walnut Valley USD,Math,5,144,Two or More Races,51,74.51
2019,Walnut Valley USD,Math,5,160,English Learner,134,59.7
2019,Walnut Valley USD,Math,5,180,English Only,504,66.67
2019,Walnut Valley USD,Math,6,1,All Students,1082,77.89
2019,Walnut Valley USD,Math,6,3,Female,547,80.4
2019,Walnut Valley USD,Math,6,4,Male,535,75.33
2019,Walnut Valley USD,Math,6,31,Econ Disadvantaged,264,72.24
2019,Walnut Valley USD,Math,6,74,Black/African American,11,18.18
2019,Walnut Valley USD,Math,6,75,American Indian,,
2019,Walnut Valley USD,Math,6,76,Asian,672,89.43
2019,Walnut Valley USD,Math,6,77,Filipino,28,75.0
2019,Walnut Valley USD,Math,6,78,Hispanic/Latino,249,53.23
2019,Walnut Valley USD,Math,6,79,Pacific Islander,17,70.59
2019,Walnut Valley USD,Math,6,80,White,53,56.6
2019,Walnut Valley USD,Math,6,99,Non-SWD,1008,81.53
2019,Walnut Valley USD,Math,6,111,Not Econ Disadv,818,79.71
2019,Walnut Valley USD,Math,6,128,SWD,74,28.38
2019,Walnut Valley USD,Math,6,144,Two or More Races,51,84.31
2019,Walnut Valley USD,Math,6,160,English Learner,113,66.96
2019,Walnut Valley USD,Math,6,180,English Only,525,68.38
2019,Walnut Valley USD,Math,7,1,All Students,1136,72.54
2019,Walnut Valley USD,Math,7,3,Female,573,73.82
2019,Walnut Valley USD,Math,7,4,Male,563,71.23
2019,Walnut Valley USD,Math,7,31,Econ Disadvantaged,301,59.14
2019,Walnut Valley USD,Math,7,74,Black/African American,20,30.0
2019,Walnut Valley USD,Math,7,76,Asian,639,89.51
2019,Walnut Valley USD,Math,7,77,Filipino,47,74.47
2019,Walnut Valley USD,Math,7,78,Hispanic/Latino,285,40.0
2019,Walnut Valley USD,Math,7,79,Pacific Islander,11,72.73
2019,Walnut Valley USD,Math,7,80,White,82,56.1
2019,Walnut Valley USD,Math,7,99,Non-SWD,1046,77.34
2019,Walnut Valley USD,Math,7,111,Not Econ Disadv,835,77.37
2019,Walnut Valley USD,Math,7,128,SWD,90,16.67
2019,Walnut Valley USD,Math,7,144,Two or More Races,52,82.69
2019,Walnut Valley USD,Math,7,160,English Learner,106,62.26
2019,Walnut Valley USD,Math,7,180,English Only,583,63.98
2019,Palo Alto USD,ELA,3,1,All Students,788,74.08
2019,Palo Alto USD,ELA,3,3,Female,402,70.4
2019,Palo Alto USD,ELA,3,4,Male,386,77.92
2019,Palo Alto USD,ELA,3,31,Econ Disadvantaged,114,29.2
2019,Palo Alto USD,ELA,3,74,Black/African American,18,22.22
2019,Palo Alto USD,ELA,3,76,Asian,272,87.13
2019,Palo Alto USD,ELA,3,77,Filipino,,
2019,Palo Alto USD,ELA,3,78,Hispanic/Latino,122,39.67
2019,Palo Alto USD,ELA,3,79,Pacific Islander,6,
2019,Palo Alto USD,ELA,3,80,White,253,79.84
2019,Palo Alto USD,ELA,3,99,Non-SWD,687,78.43
2019,Palo Alto USD,ELA,3,111,Not Econ Disadv,674,81.6
2019,Palo Alto USD,ELA,3,128,SWD,101,44.55
2019,Palo Alto USD,ELA,3,144,Two or More Races,116,77.59
2019,Palo Alto USD,ELA,3,160,English Learner,113,40.18
2019,Palo Alto USD,ELA,3,180,English Only,498,76.91
2019,Palo Alto USD,ELA,4,1,All Students,839,79.98
2019,Palo Alto USD,ELA,4,3,Female,455,75.6
2019,Palo Alto USD,ELA,4,4,Male,384,85.16
2019,Palo Alto USD,ELA,4,31,Econ Disadvantaged,100,49.0
2019,Palo Alto USD,ELA,4,74,Black/African American,16,25.0
2019,Palo Alto USD,ELA,4,76,Asian,280,90.0
2019,Palo Alto USD,ELA,4,77,Filipino,8,
2019,Palo Alto USD,ELA,4,78,Hispanic/Latino,120,58.33
2019,Palo Alto USD,ELA,4,79,Pacific Islander,11,36.36
2019,Palo Alto USD,ELA,4,80,White,311,80.06
2019,Palo Alto USD,ELA,4,99,Non-SWD,753,84.59
2019,Palo Alto USD,ELA,4,111,Not Econ Disadv,739,84.17
