year,district,cd_key,subject,grade,subgroup,tested,pct_met_above
2019,Dublin USD,01-75093,ELA,3,All,1007,79.15
2019,Dublin USD,01-75093,ELA,3,SWD,54,35.19
2019,Dublin USD,01-75093,ELA,4,All,949,78.08
2019,Dublin USD,01-75093,ELA,4,SWD,77,37.66
2019,Dublin USD,01-75093,ELA,5,All,1003,80.86
2019,Dublin USD,01-75093,ELA,5,SWD,93,45.16
2019,Dublin USD,01-75093,ELA,6,All,920,80.98
2019,Dublin USD,01-75093,ELA,6,SWD,53,22.64
2019,Dublin USD,01-75093,ELA,7,All,919,77.48
2019,Dublin USD,01-75093,ELA,7,SWD,55,16.36
2019,Dublin USD,01-75093,ELA,8,All,838,76.85
2019,Dublin USD,01-75093,ELA,8,SWD,61,27.87
2019,Dublin USD,01-75093,Math,3,All,1010,80.50
2019,Dublin USD,01-75093,Math,3,SWD,54,37.04
2019,Dublin USD,01-75093,Math,4,All,952,78.15
2019,Dublin USD,01-75093,Math,4,SWD,77,37.66
2019,Dublin USD,01-75093,Math,5,All,1004,74.30
2019,Dublin USD,01-75093,Math,5,SWD,92,33.70
2019,Dublin USD,01-75093,Math,6,All,921,71.99
2019,Dublin USD,01-75093,Math,6,SWD,53,16.98
2019,Dublin USD,01-75093,Math,7,All,920,70.87
2019,Dublin USD,01-75093,Math,7,SWD,54,16.67
2019,Dublin USD,01-75093,Math,8,All,838,71.33
2019,Dublin USD,01-75093,Math,8,SWD,61,26.23
2019,Walnut Valley USD,19-73460,ELA,3,All,851,75.91
2019,Walnut Valley USD,19-73460,ELA,3,SWD,71,38.03
2019,Walnut Valley USD,19-73460,ELA,4,All,868,75.12
2019,Walnut Valley USD,19-73460,ELA,4,SWD,73,36.99
2019,Walnut Valley USD,19-73460,ELA,5,All,969,78.74
2019,Walnut Valley USD,19-73460,ELA,5,SWD,78,30.77
2019,Walnut Valley USD,19-73460,ELA,6,All,1075,76.47
2019,Walnut Valley USD,19-73460,ELA,6,SWD,74,24.32
2019,Walnut Valley USD,19-73460,ELA,7,All,1127,76.31
2019,Walnut Valley USD,19-73460,ELA,7,SWD,89,21.35
2019,Walnut Valley USD,19-73460,ELA,8,All,1159,76.36
2019,Walnut Valley USD,19-73460,ELA,8,SWD,79,22.78
2019,Walnut Valley USD,19-73460,Math,3,All,864,81.60
2019,Walnut Valley USD,19-73460,Math,3,SWD,71,42.25
2019,Walnut Valley USD,19-73460,Math,4,All,879,75.65
2019,Walnut Valley USD,19-73460,Math,4,SWD,73,41.10
2019,Walnut Valley USD,19-73460,Math,5,All,980,73.88
2019,Walnut Valley USD,19-73460,Math,5,SWD,78,26.92
2019,Walnut Valley USD,19-73460,Math,6,All,1082,77.89
2019,Walnut Valley USD,19-73460,Math,6,SWD,74,28.38
2019,Walnut Valley USD,19-73460,Math,7,All,1136,72.54
2019,Walnut Valley USD,19-73460,Math,7,SWD,90,16.67
2019,Walnut Valley USD,19-73460,Math,8,All,1164,73.45
2019,Walnut Valley USD,19-73460,Math,8,SWD,79,21.52
2019,Palo Alto USD,43-69641,ELA,3,All,788,74.08
2019,Palo Alto USD,43-69641,ELA,3,SWD,101,44.55
2019,Palo Alto USD,43-69641,ELA,4,All,839,79.98
2019,Palo Alto USD,43-69641,ELA,4,SWD,86,39.53
