year,grade,subject,group,n_advanced,n_proficient,n_partial,n_not_proficient,adv_plus_prof
2024-25,3,Math,SWD,19,18,18,31,37
2023-24,3,Math,SWD,12,18,18,34,30
2022-23,3,Math,SWD,12,12,14,28,24
2021-22,3,Math,SWD,11,12,14,23,23
2020-21,3,Math,SWD,6,7,9,21,13
2018-19,3,Math,SWD,11,14,19,27,25
2024-25,3,Math,Non-SWD,358,225,96,31,583
2023-24,3,Math,Non-SWD,352,219,114,63,571
2022-23,3,Math,Non-SWD,356,232,126,57,588
2021-22,3,Math,Non-SWD,351,250,108,68,601
2020-21,3,Math,Non-SWD,245,183,96,58,428
2018-19,3,Math,Non-SWD,408,254,117,66,662
2024-25,4,Math,SWD,13,15,25,40,28
2023-24,4,Math,SWD,11,13,22,30,24
2022-23,4,Math,SWD,9,13,25,30,22
2021-22,4,Math,SWD,5,12,22,31,17
2020-21,4,Math,SWD,,,10,13,10
2018-19,4,Math,SWD,6,15,23,25,21
2024-25,4,Math,Non-SWD,309,221,183,41,530
2023-24,4,Math,Non-SWD,330,232,164,49,562
2022-23,4,Math,Non-SWD,351,221,170,43,572
2021-22,4,Math,Non-SWD,314,243,216,51,557
2020-21,4,Math,Non-SWD,247,193,175,50,440
2018-19,4,Math,Non-SWD,364,247,150,41,611
2024-25,5,Math,SWD,10,13,9,49,23
2023-24,5,Math,SWD,7,11,16,44,18
2022-23,5,Math,SWD,11,5,15,37,16
2021-22,5,Math,SWD,6,7,13,34,13
2020-21,5,Math,SWD,,,11,31,6
2018-19,5,Math,SWD,5,15,29,60,20
2024-25,5,Math,Non-SWD,360,186,162,80,546
2023-24,5,Math,Non-SWD,384,179,163,103,563
2022-23,5,Math,Non-SWD,383,190,189,106,573
2021-22,5,Math,Non-SWD,357,198,211,110,555
2020-21,5,Math,Non-SWD,257,111,151,95,368
2018-19,5,Math,Non-SWD,420,189,181,77,609
2024-25,6,Math,SWD,6,13,20,43,19
2023-24,6,Math,SWD,5,7,15,38,12
2022-23,6,Math,SWD,5,9,14,34,14
