year,subject,subgroup,n_advanced_proficient,n_total_tested,pct_proficient,grade,note
2025,ELA,American Indian,,,,3,masked
2025,ELA,Asian,204,356,57.3,3,
2025,ELA,Black/African American,18,48,37.5,3,
2025,ELA,Hispanic/Latino,25,44,56.8,3,
2025,ELA,Two or More Races,24,39,61.5,3,
2025,ELA,White,258,368,70.1,3,
2024,ELA,Asian,222,312,71.2,3,
2024,ELA,Black/African American,14,44,31.8,3,
2024,ELA,Hispanic/Latino,26,46,56.5,3,
2024,ELA,Pacific Islander,,,,3,masked
2024,ELA,Two or More Races,34,45,75.6,3,
2024,ELA,White,219,368,59.5,3,
2023,ELA,Asian,225,286,78.7,3,partial-row only seen
2023,ELA,Black/African American,15,38,39.5,3,
2023,ELA,Hispanic/Latino,28,48,58.3,3,
2023,ELA,Two or More Races,43,65,66.2,3,
2023,ELA,White,225,376,59.8,3,
2022,ELA,Asian,275,353,77.9,3,
2022,ELA,Black/African American,12,32,37.5,3,
2022,ELA,Hispanic/Latino,20,39,51.3,3,
2022,ELA,Pacific Islander,,,,3,masked
2022,ELA,Two or More Races,19,28,67.9,3,
2022,ELA,White,242,371,65.2,3,
2021,ELA,American Indian,,,,3,masked
2021,ELA,Asian,151,198,76.3,3,
2025,Math,American Indian,,,,3,masked
2025,Math,Asian,258,291,88.7,3,
2025,Math,Black/African American,20,48,41.7,3,
2025,Math,Hispanic/Latino,32,47,68.1,3,
2025,Math,Two or More Races,25,39,64.1,3,
2025,Math,White,284,370,76.8,3,
2024,Math,Asian,274,323,84.8,3,
2024,Math,Black/African American,14,44,31.8,3,
2024,Math,Hispanic/Latino,27,46,58.7,3,
2024,Math,Pacific Islander,,,,3,masked
2024,Math,Two or More Races,31,45,68.9,3,
2024,Math,White,254,371,68.5,3,
2025,ELA,Asian,229,319,71.8,4,
2025,ELA,Black/African American,15,42,35.7,4,
2025,ELA,Hispanic/Latino,27,47,57.4,4,
2025,ELA,Pacific Islander,,,,4,masked
2025,ELA,Two or More Races,38,51,74.5,4,
2025,ELA,White,242,373,64.9,4,
2024,ELA,Asian,229,296,77.4,4,
2024,ELA,Black/African American,15,43,34.9,4,
2024,ELA,Hispanic/Latino,28,49,57.1,4,
2024,ELA,Two or More Races,41,62,66.1,4,
2024,ELA,White,242,381,63.5,4,
2025,Math,Asian,261,328,79.6,4,
2025,Math,Black/African American,11,42,26.2,4,
2025,Math,Hispanic/Latino,26,48,54.2,4,
2025,Math,Pacific Islander,,,,4,masked
2025,Math,Two or More Races,33,52,63.5,4,
2025,Math,White,226,376,60.1,4,
2024,Math,Asian,257,310,82.9,4,
2024,Math,Black/African American,15,45,33.3,4,
2024,Math,Hispanic/Latino,27,52,51.9,4,
2024,Math,Two or More Races,45,62,72.6,4,
2024,Math,White,242,382,63.4,4,
2025,ELA,Asian,241,317,76.0,5,
2025,ELA,Black/African American,23,45,51.1,5,
2025,ELA,Hispanic/Latino,28,52,53.8,5,
2025,ELA,Two or More Races,43,61,70.5,5,
2025,ELA,White,248,384,64.6,5,
2024,ELA,Asian,292,375,77.9,5,
2024,ELA,Black/African American,,,,5,masked
2024,ELA,Hispanic/Latino,27,55,49.1,5,
2024,ELA,Pacific Islander,,,,5,masked
2024,ELA,Two or More Races,21,31,67.7,5,
2024,ELA,White,255,375,68.0,5,
2023,ELA,American Indian,,,,5,masked
2023,ELA,Asian,310,373,83.1,5,
2023,ELA,Black/African American,17,40,42.5,5,
2023,ELA,Hispanic/Latino,21,37,56.8,5,
2023,ELA,Pacific Islander,,,,5,masked
2023,ELA,Two or More Races,27,34,79.4,5,
2023,ELA,White,277,433,64.0,5,
2022,ELA,Asian,297,352,84.4,5,
2022,ELA,Black/African American,17,49,34.7,5,
2022,ELA,Hispanic/Latino,26,42,61.9,5,
2022,ELA,Pacific Islander,,,,5,masked
2022,ELA,Two or More Races,22,38,57.9,5,
2022,ELA,White,303,436,69.5,5,
2019,ELA,American Indian,,,,5,masked
2019,ELA,Asian,335,389,86.1,5,
2019,ELA,Black/African American,18,47,38.3,5,
2019,ELA,Hispanic/Latino,18,32,56.3,5,
2019,ELA,Pacific Islander,,,,5,masked
2019,ELA,Two or More Races,,,,5,masked
2019,ELA,White,324,464,69.8,5,
2025,Math,Asian,253,323,78.3,5,
2025,Math,Black/African American,12,45,26.7,5,
2025,Math,Hispanic/Latino,29,56,51.8,5,
2025,Math,Two or More Races,40,61,65.6,5,
2025,Math,White,235,384,61.2,5,
2024,Math,Asian,306,391,78.3,5,
2024,Math,Black/African American,,,,5,masked
2024,Math,Hispanic/Latino,31,59,52.5,5,
2024,Math,Pacific Islander,,,,5,masked
2024,Math,Two or More Races,18,31,58.1,5,
2024,Math,White,219,376,58.2,5,
2023,Math,American Indian,,,,5,masked
2023,Math,Asian,305,385,79.2,5,
2023,Math,Black/African American,9,40,22.5,5,
2023,Math,Hispanic/Latino,15,40,37.5,5,
2023,Math,Pacific Islander,,,,5,masked
2023,Math,Two or More Races,23,34,67.6,5,
2023,Math,White,236,435,54.3,5,
