year,subject,grade,subgroup_type,subgroup,tested,pct_met
2025,ELA,3,Total,All Students,592,63.4
2025,ELA,3,Race/Ethnicity,White,58,55.1
2025,ELA,3,Race/Ethnicity,Black or African American,32,31.2
2025,ELA,3,Race/Ethnicity,Asian,416,67.8
2025,ELA,3,Race/Ethnicity,American Indian,,
2025,ELA,3,Race/Ethnicity,Hispanic,37,45.9
2025,ELA,3,Race/Ethnicity,Native Hawaiian,,
2025,ELA,3,Race/Ethnicity,Other,42,71.4
2025,ELA,3,Gender,Male,290,60.3
2025,ELA,3,Gender,Female,302,66.3
2025,ELA,3,Subgroup,Students With Disabilities,57,21.1
2025,ELA,3,Subgroup,Multilingual Learners,97,40.3
2025,ELA,3,Subgroup,Current - Ml,31,22.6
2025,ELA,3,Subgroup,Former - Ml,66,48.5
2025,ELA,3,Subgroup,Economically Disadvantaged,57,26.3
2025,ELA,3,Subgroup,Non-Econ. Disadvantaged,535,67.3
2025,ELA,3,Subgroup,SE Accommodation,21,19.0
2025,ELA,4,Total,All Students,608,71.1
2025,ELA,4,Race/Ethnicity,White,66,62.1
2025,ELA,4,Race/Ethnicity,Black or African American,30,43.3
2025,ELA,4,Race/Ethnicity,Asian,433,78.1
2025,ELA,4,Race/Ethnicity,American Indian,,
2025,ELA,4,Race/Ethnicity,Hispanic,38,34.3
2025,ELA,4,Race/Ethnicity,Native Hawaiian,,
2025,ELA,4,Race/Ethnicity,Other,36,63.9
2025,ELA,4,Gender,Male,348,67.3
2025,ELA,4,Gender,Female,260,76.1
2025,ELA,4,Subgroup,Students With Disabilities,49,24.4
2025,ELA,4,Subgroup,Multilingual Learners,81,44.5
2025,ELA,4,Subgroup,Current - Ml,22,13.6
2025,ELA,4,Subgroup,Former - Ml,59,56.0
2025,ELA,4,Subgroup,Economically Disadvantaged,58,31.0
2025,ELA,4,Subgroup,Non-Econ. Disadvantaged,550,75.3
2025,ELA,4,Subgroup,SE Accommodation,40,12.5
2025,ELA,5,Total,All Students,641,73.5
2025,ELA,5,Race/Ethnicity,White,84,59.6
2025,ELA,5,Race/Ethnicity,Black or African American,25,52.0
2025,ELA,5,Race/Ethnicity,Asian,461,79.2
2025,ELA,5,Race/Ethnicity,American Indian,,
2025,ELA,5,Race/Ethnicity,Hispanic,36,52.7
2025,ELA,5,Race/Ethnicity,Native Hawaiian,,
2025,ELA,5,Race/Ethnicity,Other,32,68.7
