year,district,subject,grade,all_n,all_pct_meets,swd_n,swd_pct_meets
2019,West Windsor-Plainsboro,ELA,3,686,72%,62,37%
2019,West Windsor-Plainsboro,ELA,4,752,71%,79,33%
2019,West Windsor-Plainsboro,ELA,5,734,78%,76,26%
2019,West Windsor-Plainsboro,ELA,6,804,84%,71,32%
2019,West Windsor-Plainsboro,ELA,7,781,86%,57,33%
2019,West Windsor-Plainsboro,ELA,8,807,89%,58,26%
2019,West Windsor-Plainsboro,Math,3,695,74%,63,33%
2019,West Windsor-Plainsboro,Math,4,760,74%,80,36%
2019,West Windsor-Plainsboro,Math,5,737,74%,77,21%
2019,West Windsor-Plainsboro,Math,6,808,78%,69,30%
2019,West Windsor-Plainsboro,Math,7,714,80%,57,40%
2019,West Windsor-Plainsboro,Math,8,74,15%,33,12%
2022,West Windsor-Plainsboro,ELA,3,596,66%,36,39%
2022,West Windsor-Plainsboro,ELA,4,655,68%,75,11%
2022,West Windsor-Plainsboro,ELA,5,688,73%,68,26%
2022,West Windsor-Plainsboro,ELA,6,745,77%,70,20%
2022,West Windsor-Plainsboro,ELA,7,773,80%,75,25%
2022,West Windsor-Plainsboro,ELA,8,764,86%,71,32%
2022,West Windsor-Plainsboro,Math,3,600,69%,37,35%
2022,West Windsor-Plainsboro,Math,4,667,63%,75,19%
2022,West Windsor-Plainsboro,Math,5,694,73%,68,25%
2022,West Windsor-Plainsboro,Math,6,749,65%,70,14%
2022,West Windsor-Plainsboro,Math,7,482,62%,73,32%
2022,West Windsor-Plainsboro,Math,8,788,78%,60,28%
2023,West Windsor-Plainsboro,ELA,3,609,59%,48,10%
2023,West Windsor-Plainsboro,ELA,4,636,74%,48,33%
2023,West Windsor-Plainsboro,ELA,5,669,81%,72,19%
2023,West Windsor-Plainsboro,ELA,6,709,77%,54,19%
2023,West Windsor-Plainsboro,ELA,7,761,83%,71,23%
2023,West Windsor-Plainsboro,ELA,8,787,87%,71,39%
2023,West Windsor-Plainsboro,Math,3,620,65%,48,17%
2023,West Windsor-Plainsboro,Math,4,643,70%,48,35%
2023,West Windsor-Plainsboro,Math,5,680,73%,72,21%
2023,West Windsor-Plainsboro,Math,6,719,69%,54,22%
2023,West Windsor-Plainsboro,Math,7,504,63%,68,13%
2023,West Windsor-Plainsboro,Math,8,816,69%,78,22%
2024,West Windsor-Plainsboro,ELA,3,573,59%,47,17%
2024,West Windsor-Plainsboro,ELA,4,621,66%,57,18%
2024,West Windsor-Plainsboro,ELA,5,670,77%,49,20%
2024,West Windsor-Plainsboro,ELA,6,713,78%,69,22%
2024,West Windsor-Plainsboro,ELA,7,727,80%,57,21%
2024,West Windsor-Plainsboro,ELA,8,787,81%,61,18%
2024,West Windsor-Plainsboro,Math,3,587,69%,47,23%
2024,West Windsor-Plainsboro,Math,4,634,66%,57,21%
2024,West Windsor-Plainsboro,Math,5,679,71%,49,31%
2024,West Windsor-Plainsboro,Math,6,722,70%,70,21%
2024,West Windsor-Plainsboro,Math,7,455,66%,52,21%
2024,West Windsor-Plainsboro,Math,8,846,77%,17,24%
2025,West Windsor-Plainsboro,ELA,3,592,63%,57,21%
2025,West Windsor-Plainsboro,ELA,4,608,71%,49,24%
2025,West Windsor-Plainsboro,ELA,5,641,74%,58,22%
2025,West Windsor-Plainsboro,ELA,6,690,78%,44,14%
2025,West Windsor-Plainsboro,ELA,7,741,80%,63,21%
2025,West Windsor-Plainsboro,Math,3,609,74%,58,36%
2025,West Windsor-Plainsboro,Math,4,627,71%,49,26%
2025,West Windsor-Plainsboro,Math,5,654,71%,59,25%
2025,West Windsor-Plainsboro,Math,6,703,76%,45,27%
2025,West Windsor-Plainsboro,Math,7,458,68%,60,13%
