year,district,subject,grade,all_pct_meets,swd_pct_meets
2019,Coppell ISD,ELA,3,70,38
2019,Coppell ISD,Math,3,72,36
2019,Coppell ISD,ELA,4,73,35
2019,Coppell ISD,Math,4,77,44
2019,Coppell ISD,ELA,5,83,37
2019,Coppell ISD,Math,5,82,34
2019,Coppell ISD,ELA,6,72,28
2019,Coppell ISD,Math,6,76,43
2019,Coppell ISD,ELA,7,81,30
2019,Coppell ISD,Math,7,88,45
2019,Coppell ISD,ELA,8,85,32
2019,Coppell ISD,Math,8,91,44
2022,Coppell ISD,ELA,3,74,36
2022,Coppell ISD,Math,3,68,35
2022,Coppell ISD,ELA,4,78,50
2022,Coppell ISD,Math,4,70,46
2022,Coppell ISD,ELA,5,83,46
2022,Coppell ISD,Math,5,73,39
2022,Coppell ISD,ELA,6,69,36
2022,Coppell ISD,Math,6,58,37
2022,Coppell ISD,ELA,7,84,46
2022,Coppell ISD,Math,7,79,43
2022,Coppell ISD,ELA,8,83,42
2022,Coppell ISD,Math,8,81,44
2023,Coppell ISD,ELA,3,76,44
2023,Coppell ISD,Math,3,71,44
2023,Coppell ISD,ELA,4,77,42
2023,Coppell ISD,Math,4,74,43
2023,Coppell ISD,ELA,5,85,52
2023,Coppell ISD,Math,5,80,50
2023,Coppell ISD,ELA,6,85,45
2023,Coppell ISD,Math,6,59,36
2023,Coppell ISD,ELA,7,86,40
2023,Coppell ISD,Math,7,84,44
2023,Coppell ISD,ELA,8,89,41
2023,Coppell ISD,Math,8,86,41
2024,Coppell ISD,ELA,3,73,40
2024,Coppell ISD,Math,3,66,37
2024,Coppell ISD,ELA,4,79,44
2024,Coppell ISD,Math,4,71,43
2024,Coppell ISD,ELA,5,83,47
2024,Coppell ISD,Math,5,78,45
2024,Coppell ISD,ELA,6,89,51
2024,Coppell ISD,Math,6,57,38
2024,Coppell ISD,ELA,7,86,42
2024,Coppell ISD,Math,7,81,52
2024,Coppell ISD,ELA,8,88,43
2024,Coppell ISD,Math,8,84,51
2025,Coppell ISD,ELA,3,78,45
2025,Coppell ISD,Math,3,75,42
2025,Coppell ISD,ELA,4,80,42
2025,Coppell ISD,Math,4,73,38
2025,Coppell ISD,ELA,5,83,48
2025,Coppell ISD,Math,5,75,41
2025,Coppell ISD,ELA,6,87,44
2025,Coppell ISD,Math,6,51,34
2025,Coppell ISD,ELA,7,81,38
2025,Coppell ISD,Math,7,83,47
2025,Coppell ISD,ELA,8,88,44
2025,Coppell ISD,Math,8,88,58
