year,district,subject,grade,all_n,all_pct_met,swd_n,swd_pct_met
2019,Bellevue School District,ELA,3,1477,71.7,96,29.7
2019,Bellevue School District,ELA,4,1598,74.1,125,37.2
2019,Bellevue School District,ELA,5,1497,79.7,105,39.4
2019,Bellevue School District,ELA,6,1579,75.2,113,27.9
2019,Bellevue School District,ELA,7,1526,80.6,121,30.3
2019,Bellevue School District,Math,3,1479,74.2,97,34.7
2019,Bellevue School District,Math,4,1613,72.8,126,42.6
2019,Bellevue School District,Math,5,1499,72.0,105,25.9
2019,Bellevue School District,Math,6,1586,69.5,114,21.3
2019,Bellevue School District,Math,7,1535,73.1,121,24.2
2022,Bellevue School District,ELA,3,1271,71.6,114,31.7
2022,Bellevue School District,ELA,4,1294,71.3,124,34.8
2022,Bellevue School District,ELA,5,1372,74.4,137,24.8
2022,Bellevue School District,ELA,6,1336,63.8,128,15.7
2022,Bellevue School District,ELA,7,1528,72.1,124,23.8
2022,Bellevue School District,Math,3,1278,72.8,113,34.7
2022,Bellevue School District,Math,4,1293,70.9,124,32.6
2022,Bellevue School District,Math,5,1371,65.4,137,20.0
2022,Bellevue School District,Math,6,1340,61.2,127,16.4
2022,Bellevue School District,Math,7,1528,64.4,123,19.0
2023,Bellevue School District,ELA,3,1165,69.8,101,30.4
2023,Bellevue School District,ELA,4,1276,72.3,131,34.8
2023,Bellevue School District,ELA,5,1310,75.0,138,36.6
2023,Bellevue School District,ELA,6,1367,68.9,126,20.4
2023,Bellevue School District,ELA,7,1359,70.2,126,20.6
2023,Bellevue School District,Math,3,1174,72.7,101,38.1
2023,Bellevue School District,Math,4,1278,73.3,132,35.5
2023,Bellevue School District,Math,5,1311,67.2,137,22.8
2023,Bellevue School District,Math,6,1372,65.4,127,17.4
2023,Bellevue School District,Math,7,1371,67.4,127,21.5
2024,Bellevue School District,ELA,3,1295,70.1,163,38.3
2024,Bellevue School District,ELA,4,1242,68.5,139,30.4
2024,Bellevue School District,ELA,5,1320,76.1,152,36.6
2024,Bellevue School District,ELA,6,1403,65.1,137,20.9
2024,Bellevue School District,ELA,7,1413,70.3,130,27.2
2024,Bellevue School District,Math,3,1300,72.9,165,38.3
2024,Bellevue School District,Math,4,1252,71.5,139,32.4
2024,Bellevue School District,Math,5,1322,67.6,154,29.2
2024,Bellevue School District,Math,6,1411,63.3,136,22.8
2024,Bellevue School District,Math,7,1433,65.7,132,20.4
2025,Bellevue School District,ELA,3,1304,65.1,157,34.7
2025,Bellevue School District,ELA,4,1356,70.8,165,40.0
2025,Bellevue School District,ELA,5,1318,72.5,133,28.1
2025,Bellevue School District,ELA,6,1451,68.9,149,22.0
2025,Bellevue School District,ELA,7,1442,68.8,122,27.0
2025,Bellevue School District,Math,3,1314,69.4,156,40.0
2025,Bellevue School District,Math,4,1365,72.8,166,37.5
2025,Bellevue School District,Math,5,1318,67.9,131,20.9
2025,Bellevue School District,Math,6,1454,65.3,149,25.2
2025,Bellevue School District,Math,7,1452,65.2,118,18.4
