district,state,year,subject,grade,subgroup,tested,pct_met
Dublin USD,CA,2019,ELA,3,All Students,1007,79.15
Dublin USD,CA,2019,ELA,3,Female,494,72.06
Dublin USD,CA,2019,ELA,3,Male,513,85.96
Dublin USD,CA,2019,ELA,3,Econ Disadvantaged,61,45.9
Dublin USD,CA,2019,ELA,3,Black/African American,20,55.0
Dublin USD,CA,2019,ELA,3,American Indian,7,
Dublin USD,CA,2019,ELA,3,Asian,589,87.61
Dublin USD,CA,2019,ELA,3,Filipino,35,74.29
Dublin USD,CA,2019,ELA,3,Hispanic/Latino,110,58.18
Dublin USD,CA,2019,ELA,3,Pacific Islander,,
Dublin USD,CA,2019,ELA,3,White,151,72.19
Dublin USD,CA,2019,ELA,3,Non-SWD,953,81.64
Dublin USD,CA,2019,ELA,3,Not Econ Disadv,946,81.29
Dublin USD,CA,2019,ELA,3,SWD,54,35.19
Dublin USD,CA,2019,ELA,3,Two or More Races,92,71.74
Dublin USD,CA,2019,ELA,3,English Learner,65,30.77
Dublin USD,CA,2019,ELA,3,English Only,617,77.47
Dublin USD,CA,2019,ELA,4,All Students,949,78.08
Dublin USD,CA,2019,ELA,4,Female,510,74.9
Dublin USD,CA,2019,ELA,4,Male,439,81.78
Dublin USD,CA,2019,ELA,4,Econ Disadvantaged,52,28.85
Dublin USD,CA,2019,ELA,4,Black/African American,25,52.0
Dublin USD,CA,2019,ELA,4,American Indian,5,
Dublin USD,CA,2019,ELA,4,Asian,537,86.78
Dublin USD,CA,2019,ELA,4,Filipino,27,85.19
Dublin USD,CA,2019,ELA,4,Hispanic/Latino,92,51.09
Dublin USD,CA,2019,ELA,4,Pacific Islander,7,
Dublin USD,CA,2019,ELA,4,White,167,73.05
Dublin USD,CA,2019,ELA,4,Non-SWD,872,81.65
Dublin USD,CA,2019,ELA,4,Not Econ Disadv,897,80.94
Dublin USD,CA,2019,ELA,4,SWD,77,37.66
Dublin USD,CA,2019,ELA,4,Two or More Races,89,69.66
Dublin USD,CA,2019,ELA,4,English Learner,59,28.81
Dublin USD,CA,2019,ELA,4,English Only,557,75.22
Dublin USD,CA,2019,ELA,5,All Students,1003,80.86
Dublin USD,CA,2019,ELA,5,Female,519,75.34
Dublin USD,CA,2019,ELA,5,Male,484,86.78
Dublin USD,CA,2019,ELA,5,Econ Disadvantaged,60,31.67
Dublin USD,CA,2019,ELA,5,Black/African American,35,51.43
Dublin USD,CA,2019,ELA,5,American Indian,4,
Dublin USD,CA,2019,ELA,5,Asian,542,89.48
Dublin USD,CA,2019,ELA,5,Filipino,38,89.47
Dublin USD,CA,2019,ELA,5,Hispanic/Latino,117,60.68
Dublin USD,CA,2019,ELA,5,Pacific Islander,,
Dublin USD,CA,2019,ELA,5,White,187,73.8
Dublin USD,CA,2019,ELA,5,Non-SWD,910,84.51
Dublin USD,CA,2019,ELA,5,Not Econ Disadv,943,83.99
Dublin USD,CA,2019,ELA,5,SWD,93,45.16
Dublin USD,CA,2019,ELA,5,Two or More Races,77,77.92
Dublin USD,CA,2019,ELA,5,English Learner,46,23.91
Dublin USD,CA,2019,ELA,5,English Only,618,78.8
Dublin USD,CA,2019,ELA,6,All Students,920,80.98
Dublin USD,CA,2019,ELA,6,Female,464,78.45
Dublin USD,CA,2019,ELA,6,Male,456,83.55
Dublin USD,CA,2019,ELA,6,Econ Disadvantaged,58,65.52
