SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Grade,Subject,TestingGroup,NumberAboveAverageGrowth,NumberAverageGrowth,NumberBelowAverageGrowth,PercentAboveAverage,PercentAverageGrowth,PercentBelowAverage,TotalIncluded,MeanSGP
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Students without Disabilities","492","625","478","30.80","39.20","30.00","1595","50.70"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","Social Studies","Students without Disabilities","247","361","225","29.70","43.30","27.00","833","51.90"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Social Studies","Students without Disabilities","245","264","253","32.20","34.60","33.20","762","49.30"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Not Migrant","520","670","533","30.20","38.90","30.90","1723","50.00"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Not English Learners","499","632","505","30.50","38.60","30.90","1636","50.10"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","English Learners","21","38","28","24.10","43.70","32.20","87","48.80"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Female","229","347","296","26.30","39.80","33.90","872","47.30"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Male","291","323","237","34.20","38.00","27.80","851","52.80"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Asian","190","228","151","33.40","40.10","26.50","569","53.60"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Two or More Races","17","24","18","28.80","40.70","30.50","59","48.70"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","White, not of Hispanic origin","266","375","325","27.50","38.80","33.60","966","47.80"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Hispanic","20","11","11","47.60","26.20","26.20","42","57.00"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Black, not of Hispanic origin","25","31","28","29.80","36.90","33.30","84","48.30"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Not Economically Disadvantaged","448","564","434","31.00","39.00","30.00","1446","50.60"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Economically Disadvantaged","72","106","99","26.00","38.30","35.70","277","46.90"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","All Students","520","670","533","30.20","38.90","30.90","1723","50.00"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","Social Studies","Not Migrant","262","386","262","28.80","42.40","28.80","910","50.90"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","Social Studies","Not English Learners","245","360","245","28.80","42.40","28.80","850","50.80"
