SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"18 - 19 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","08","Social Studies","Students With Disabilities","3","9","25","45","N/A","N/A","N/A","12","70","82","<=5%","*","30.5","54.9","N/A","N/A","N/A","14.60","85.40","1774.8000000000000000","23.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"18 - 19 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","08","Social Studies","Not English Learners","84","374","336","130","N/A","N/A","N/A","458","466","924","9.1","40.5","36.4","14.1","N/A","N/A","N/A","49.60","50.40","1799.7000000000000000","24.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"18 - 19 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","08","Social Studies","English Learners","<3","*","40","39","N/A","N/A","N/A","11","79","90","<=5%","*","44.4","43.3","N/A","N/A","N/A","12.20","87.80","1777.4000000000000000","19.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"18 - 19 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","08","Social Studies","Female","30","170","225","91","N/A","N/A","N/A","200","316","516","5.8","32.9","43.6","17.6","N/A","N/A","N/A","38.80","61.20","1794.3000000000000000","23.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"18 - 19 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","08","Social Studies","Male","56","213","151","78","N/A","N/A","N/A","269","229","498","11.2","42.8","30.3","15.7","N/A","N/A","N/A","54.00","46.00","1801.2000000000000000","25.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"18 - 19 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","08","Social Studies","Asian","57","169","118","31","N/A","N/A","N/A","226","149","375","15.2","45.1","31.5","8.3","N/A","N/A","N/A","60.30","39.70","1806.4000000000000000","23.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"18 - 19 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","08","Social Studies","Two or More Races","4","13","13","8","N/A","N/A","N/A","17","21","38","10.5","34.2","34.2","21.1","N/A","N/A","N/A","44.70","55.30","1795.7000000000000000","26.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"18 - 19 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","08","Social Studies","White","24","180","215","96","N/A","N/A","N/A","204","311","515","4.7","35.0","41.7","18.6","N/A","N/A","N/A","39.60","60.40","1793.7000000000000000","23.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"18 - 19 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","08","Social Studies","Hispanic of Any Race","<3","*","10","9","N/A","N/A","N/A","14","19","33","<=10%","*","30.3","27.3","N/A","N/A","N/A","42.40","57.60","1793.6000000000000000","24.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"18 - 19 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","08","Social Studies","Black or African American","<3","*","20","25","N/A","N/A","N/A","6","45","51","<=10%","*","39.2","49.0","N/A","N/A","N/A","11.80","88.20","1776.8000000000000000","20.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"18 - 19 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","08","Social Studies","American Indian or Alaska Native","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
