SchoolYear,TestType,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Grade,Subject,Subgroup_1,Subgroup_2,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Black, not of Hispanic origin","English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Male","Not English Learners","51.8","26.7","14.7","6.9"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Two or More Races","Not English Learners","37.8","29.7","27.0","<=10%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Black, not of Hispanic origin","Not English Learners","<=10%","26.0","36.0","30.0"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Hispanic","English Learners","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Black, not of Hispanic origin","Male","<=20%","33.3","37.0","29.6"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Asian","Not English Learners","77.1","18.0","4.0","<=1%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Hispanic","Students with Disabilities","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Hispanic","Students without IEP","25.8","32.3","35.5","<=10%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","White, not of Hispanic origin","English Learners","<=10%","29.0","38.7","25.8"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Students with Disabilities","English Learners","<=20%","<=20%","31.3","50.0"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Female","Not English Learners","45.3","31.9","18.0","4.8"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Asian","Students without IEP","73.4","18.6","6.3","1.6"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Two or More Races","Male","47.4","21.1","26.3","<=20%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Students without IEP","English Learners","25.7","28.4","35.1","10.8"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Female","Students without IEP","45.8","31.4","18.3","4.5"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Students with Disabilities","Not English Learners","6.0","32.8","26.9","34.3"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Black, not of Hispanic origin","Students without IEP","<=10%","32.5","40.0","17.5"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Two or More Races","English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Female","Students with Disabilities","<=10%","32.3","29.0","35.5"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","American Indian or Alaska Native","Not English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","White, not of Hispanic origin","Students with Disabilities","<=10%","33.3","29.8","31.6"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","White, not of Hispanic origin","Students without IEP","36.7","36.9","21.5","5.0"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Female","English Learners","19.5","26.8","29.3","24.4"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","White, not of Hispanic origin","Male","35.0","34.2","21.4","9.5"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","American Indian or Alaska Native","Female","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","American Indian or Alaska Native","Students without IEP","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Students without IEP","Not English Learners","51.7","29.1","15.6","3.6"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Two or More Races","Female","26.3","36.8","26.3","<=20%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Asian","English Learners","36.2","25.5","27.7","10.6"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Male","Students with Disabilities","<=10%","26.9","26.9","38.5"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Hispanic","Not English Learners","30.4","39.1","26.1","<=20%"
