SchoolYear,TestType,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Grade,Subject,Subgroup_1,Subgroup_2,EBRWPercentProficient,EBRWPercentNotProficient
"18 - 19 School Year","SAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","EBRW","Students without IEP","Not English Learners","86.9","13.1"
"18 - 19 School Year","SAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","EBRW","Students without IEP","English Learners","48.0","52.0"
"18 - 19 School Year","SAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","EBRW","Asian","Students without IEP","94.6","5.4"
"18 - 19 School Year","SAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","EBRW","Black, not of Hispanic origin","English Learners","*","*"
"18 - 19 School Year","SAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","EBRW","Two or More Races","Not English Learners","76.9","23.1"
"18 - 19 School Year","SAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","EBRW","Hispanic","English Learners","*","*"
"18 - 19 School Year","SAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","EBRW","White, not of Hispanic origin","Students with Disabilities","45.2","54.8"
"18 - 19 School Year","SAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","EBRW","White, not of Hispanic origin","Female","84.6","15.4"
"18 - 19 School Year","SAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","EBRW","Students with Disabilities","English Learners","*","*"
"18 - 19 School Year","SAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","EBRW","White, not of Hispanic origin","Students without IEP","83.6","16.4"
