SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","All Students","73.6000","902","596.7000","664","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.8000","902","1171.9000","630","82.9000","902","575.2000","748"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","American Indian or Alaska Native","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Asian","93.3000","283","678.4000","264","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","89.0000","283","1310.0000","252","93.6000","283","631.6000","265"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","23.8000","42","468.8000","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.8000","42","954.5000","10","47.6000","42","485.7000","20"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Economically Disadvantaged","49.0000","147","523.7000","72","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","43.5000","147","1032.5000","64","64.6000","147","508.8000","95"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","English Language Learners","38.2000","34","477.1000","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29.4000","34","915.9000","10","38.2000","34","438.8000","13"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Female","72.3000","451","595.3000","326","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","71.0000","451","1184.6000","320","86.5000","451","589.4000","390"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Hispanic","43.3000","30","504.3000","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","40.0000","30","1003.7000","12","66.7000","30","499.3000","20"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Homeless","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Male","74.9000","451","598.1000","338","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","68.7000","451","1159.1000","310","79.4000","451","561.0000","358"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","78.4000","755","610.9000","592","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","75.0000","755","1199.0000","566","86.5000","755","588.1000","653"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not English Language Learners","75.0000","868","601.4000","651","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","71.4000","868","1181.9000","620","84.7000","868","580.5000","735"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Foster Care","73.6000","902","596.7000","664","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.8000","902","1171.9000","630","82.9000","902","575.2000","748"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Homeless","73.7000","901","596.8000","664","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.9000","901","1172.1000","630","82.9000","901","575.3000","747"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Migrant","73.6000","902","596.7000","664","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.8000","902","1171.9000","630","82.9000","902","575.2000","748"
"18 - 19 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Military Connected","73.6000","902","596.7000","664","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.8000","902","1171.9000","630","82.9000","902","575.2000","748"
