SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","All Students","69.2000","734","601.5000","508","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.3000","734","1183.6000","494","83.7000","734","582.1000","614"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Asian","89.0000","263","674.5000","234","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","87.5000","263","1307.2000","230","93.2000","263","632.7000","245"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","52.0000","25","517.6000","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","44.0000","25","1038.8000","11","52.0000","25","521.2000","13"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Economically Disadvantaged","50.6000","77","538.3000","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","45.5000","77","1067.3000","35","70.1000","77","529.0000","54"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","English Language Learners","35.9000","39","497.4000","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","28.2000","39","966.7000","11","46.2000","39","469.2000","18"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Female","66.4000","363","593.7000","241","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","65.0000","363","1178.6000","236","83.5000","363","584.8000","303"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Hispanic","50.0000","34","539.7000","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","50.0000","34","1079.7000","17","82.4000","34","540.0000","28"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Male","72.0000","371","609.1000","267","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.5000","371","1188.5000","258","83.8000","371","579.4000","311"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Native Hawaiian or Other Pacific Islander","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","71.4000","657","608.9000","469","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.9000","657","1197.2000","459","85.2000","657","588.3000","560"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not English Language Learners","71.1000","695","607.4000","494","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.5000","695","1195.8000","483","85.8000","695","588.4000","596"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Foster Care","69.2000","734","601.5000","508","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.3000","734","1183.6000","494","83.7000","734","582.1000","614"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Homeless","69.2000","734","601.5000","508","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.3000","734","1183.6000","494","83.7000","734","582.1000","614"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Migrant","69.2000","734","601.5000","508","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.3000","734","1183.6000","494","83.7000","734","582.1000","614"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Military Connected","69.2000","734","601.5000","508","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.3000","734","1183.6000","494","83.7000","734","582.1000","614"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Students with Disabilities","36.7000","30","499.3000","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","36.7000","30","999.3000","11","53.3000","30","500.0000","16"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Students without IEP","70.6000","704","605.9000","497","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","68.6000","704","1191.5000","483","84.9000","704","585.6000","598"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Two or More Races","62.5000","32","590.3000","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","62.5000","32","1160.3000","20","84.4000","32","570.0000","27"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","58.7000","378","562.8000","222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","56.6000","378","1118.0000","214","79.1000","378","555.3000","299"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","All Students","76.8000","414","630.9000","318","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","74.9000","414","1232.5000","310","87.4000","414","601.6000","362"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Asian","94.1000","186","697.7000","175","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","93.0000","186","1345.6000","173",">=95%","186","647.9000","179"
