SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","04","ELA","Students Without Disabilities","325","158","103","78","N/A","N/A","N/A","483","181","664","48.9","23.8","15.5","11.7","N/A","N/A","N/A","72.70","27.30","1413.2000000000000000","22.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Science","Students Without Disabilities","22","279","249","58","N/A","N/A","N/A","301","307","608","3.6","45.9","41.0","9.5","N/A","N/A","N/A","49.50","50.50","1497.3000000000000000","23.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Science","All Students","23","285","268","81","N/A","N/A","N/A","308","349","657","3.5","43.4","40.8","12.3","N/A","N/A","N/A","46.90","53.10","1495.5000000000000000","24.3000000000000000","N/A","1425","1562","1479.00","1497.00","1513.00"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Science","Economically Disadvantaged","<3","*","29","25","N/A","N/A","N/A","18","54","72","<=5%","*","40.3","34.7","N/A","N/A","N/A","25.00","75.00","1479.9000000000000000","22.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Science","Not Economically Disadvantaged","23","267","239","56","N/A","N/A","N/A","290","295","585","3.9","45.6","40.9","9.6","N/A","N/A","N/A","49.60","50.40","1497.5000000000000000","23.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Science","Native Hawaiian or Other Pacific Islander","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Science","American Indian or Alaska Native","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Social Studies","English Learners","<3","*","41","20","N/A","N/A","N/A","5","61","66","<=5%","*","62.1","30.3","N/A","N/A","N/A","7.60","92.40","1466.7000000000000000","17.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Social Studies","Not English Learners","29","161","340","71","N/A","N/A","N/A","190","411","601","4.8","26.8","56.6","11.8","N/A","N/A","N/A","31.60","68.40","1486.8000000000000000","24.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Science","Black or African American","<3","*","10","7","N/A","N/A","N/A","3","17","20","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","1476.8000000000000000","25.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
