SchoolYear,TestType,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Grade,Subject,Subgroup_1,Subgroup_2,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Male","English Learners","38.9","<=20%","44.4","<=20%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Hispanic","Female","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Hispanic","English Learners","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Asian","English Learners","33.3","20.8","41.7","<=20%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Hispanic","Not English Learners","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Black, not of Hispanic origin","Not English Learners","<=50%","<=50%","<=50%","<=50%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Hispanic","Students without IEP","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Black, not of Hispanic origin","Students without IEP","<=50%","<=50%","<=50%","<=50%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","White, not of Hispanic origin","Female","21.4","29.8","35.1","13.7"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","White, not of Hispanic origin","Male","26.8","32.1","31.3","9.8"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Hispanic","Male","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","8","Mathematics","Asian","Female","73.9","16.2","8.5","<=5%"
