SchoolYear,TestType,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Grade,Subject,Subgroup_1,Subgroup_2,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProfient
"20 - 21 School Year","M-STEP","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","03","Mathematics","American Indian or Alaska Native","Female","*","*","*","*"
"20 - 21 School Year","M-STEP","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","03","Mathematics","American Indian or Alaska Native","Not English Learners","*","*","*","*"
"20 - 21 School Year","M-STEP","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","03","Mathematics","American Indian or Alaska Native","Students without IEP","*","*","*","*"
"20 - 21 School Year","M-STEP","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","03","Mathematics","Asian","English Learners","32.6","35.9","21.7","9.8"
"20 - 21 School Year","M-STEP","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","03","Mathematics","Asian","Female","62.0","23.0","*","<=5%"
"20 - 21 School Year","M-STEP","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","03","Mathematics","Asian","Male","61.4","22.8","*","<=5%"
"20 - 21 School Year","M-STEP","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","03","Mathematics","Asian","Not English Learners","*","*","<=5%","<=5%"
"20 - 21 School Year","M-STEP","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","03","Mathematics","Asian","Students with Disabilities","*","*","*","*"
"20 - 21 School Year","M-STEP","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","03","Mathematics","Asian","Students without IEP","63.7","23.8","*","<=5%"
"20 - 21 School Year","M-STEP","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","03","Mathematics","Black, not of Hispanic origin","English Learners","*","*","*","*"
