SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Not English Learners","19","65","31","5","N/A","N/A","N/A","84","36","120","15.8","54.2","*","<=5%","N/A","N/A","N/A","70.00","30.00","2109.7000000000000000","23.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","English Learners","<3","*","*","<3","N/A","N/A","N/A","4","6","10","<=50%","<=50%","<=50%","<=50%","N/A","N/A","N/A","<=50%",">=50%","2095.7000000000000000","26.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Female","7","32","16","5","N/A","N/A","N/A","39","21","60","11.7","53.3","*","<=10%","N/A","N/A","N/A","65.00","35.00","2105.2000000000000000","23.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Male","13","36","*","<3","N/A","N/A","N/A","49","21","70","18.6","51.4","*","<=5%","N/A","N/A","N/A","70.00","30.00","2111.4000000000000000","23.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Asian","11","26","*","<3","N/A","N/A","N/A","37","22","59","18.6","44.1","*","<=10%","N/A","N/A","N/A","62.70","37.30","2108.7000000000000000","22.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Two or More Races","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","White","8","27","14","5","N/A","N/A","N/A","35","19","54","14.8","50.0","*","<=10%","N/A","N/A","N/A","64.80","35.20","2105.0000000000000000","26.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Students Without Disabilities","3","38","51","34","N/A","N/A","N/A","41","85","126","<=5%","*","40.5","27.0","N/A","N/A","N/A","32.50","67.50","2087.7000000000000000","24.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"20 - 21 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","All Students","3","38","54","37","N/A","N/A","N/A","41","91","132","<=5%","*","40.9","28.0","N/A","N/A","N/A","31.10","68.90","2086.8000000000000000","24.8000000000000000","N/A","2019","2146","2070.00","2090.00","2105.00"
