SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Grade,Subject,TestingGroup,NumberAboveAverageGrowth,NumberAverageGrowth,NumberBelowAverageGrowth,PercentAboveAverage,PercentAverageGrowth,PercentBelowAverage,TotalIncluded,MeanSGP
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","Social Studies","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Social Studies","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Social Studies","Not Economically Disadvantaged","169","219","321","23.80","30.90","45.30","709","41.10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","Social Studies","Not Economically Disadvantaged","236","307","192","32.10","41.80","26.10","735","53.10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Not Economically Disadvantaged","405","526","513","28.00","36.40","35.50","1444","47.20"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Economically Disadvantaged","42","102","143","14.60","35.50","49.80","287","37.60"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Social Studies","Economically Disadvantaged","16","36","81","12.00","27.10","60.90","133","32.00"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Social Studies","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","Social Studies","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Hispanic","18","26","20","28.10","40.60","31.30","64","49.20"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","Social Studies","Hispanic","12","12","< 10","40.00","40.00","20.00","30","58.80"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Black, not of Hispanic origin","13","30","49","14.10","32.60","53.30","92","36.90"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Social Studies","Black, not of Hispanic origin","< 10","11","29","9.10","25.00","65.90","44","31.00"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","Social Studies","Black, not of Hispanic origin","< 10","19","20","18.80","39.60","41.70","48","42.30"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","Social Studies","White, not of Hispanic origin","86","189","148","20.30","44.70","35.00","423","45.60"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Social Studies","White, not of Hispanic origin","75","136","237","16.70","30.40","52.90","448","34.60"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","White, not of Hispanic origin","161","325","385","18.50","37.30","44.20","871","39.90"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Asian","237","220","177","37.40","34.70","27.90","634","54.20"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","Social Studies","Asian","143","136","74","40.50","38.50","21.00","353","58.30"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Social Studies","Male","98","110","207","23.60","26.50","49.90","415","39.00"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Social Studies","Asian","94","84","103","33.50","29.90","36.70","281","49.10"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","Social Studies","Male","148","201","119","31.60","42.90","25.40","468","53.20"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","English Language Arts","English Learners","< 10","20","< 10","25.00","55.60","19.40","36","51.60"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","English Learners","59","71","62","30.70","37.00","32.30","192","48.50"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","06","English Language Arts","English Learners","20","19","18","35.10","33.30","31.60","57","50.50"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","English Language Arts","English Learners","19","16","22","33.30","28.10","38.60","57","46.80"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","07","English Language Arts","English Learners","11","16","15","26.20","38.10","35.70","42","45.70"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","English Language Arts","Not English Learners","355","266","187","43.90","32.90","23.10","808","58.50"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","Not English Learners","1003","1193","928","32.10","38.20","29.70","3124","51.00"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","06","English Language Arts","Not English Learners","206","315","243","27.00","41.20","31.80","764","48.20"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","English Language Arts","Not English Learners","233","314","272","28.40","38.30","33.20","819","48.40"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","07","English Language Arts","Not English Learners","209","298","226","28.50","40.70","30.80","733","48.80"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","English Language Arts","Two or More Races","11","< 10","13","33.30","27.30","39.40","33","47.80"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","Two or More Races","41","50","41","31.10","37.90","31.10","132","49.50"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","English Language Arts","All Students","364","286","194","43.10","33.90","23.00","844","58.20"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","All Students","1062","1264","990","32.00","38.10","29.90","3316","50.90"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","06","English Language Arts","All Students","226","334","261","27.50","40.70","31.80","821","48.40"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","English Language Arts","All Students","252","330","294","28.80","37.70","33.60","876","48.30"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","07","English Language Arts","All Students","220","314","241","28.40","40.50","31.10","775","48.60"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","07","English Language Arts","Female","99","149","125","26.50","39.90","33.50","373","47.20"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","English Language Arts","Female","124","160","131","29.90","38.60","31.60","415","50.00"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","English Language Arts","Female","177","151","100","41.40","35.30","23.40","428","57.20"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","06","English Language Arts","Female","124","147","127","31.20","36.90","31.90","398","50.20"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","Female","524","607","483","32.50","37.60","29.90","1614","51.30"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","English Language Arts","Students with Disabilities","18","20","26","28.10","31.30","40.60","64","44.70"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","06","English Language Arts","Students with Disabilities","14","22","31","20.90","32.80","46.30","67","40.40"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","Students with Disabilities","62","71","111","25.40","29.10","45.50","244","42.50"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","07","English Language Arts","Students with Disabilities","10","13","26","20.40","26.50","53.10","49","39.90"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","English Language Arts","Students with Disabilities","20","16","28","31.30","25.00","43.80","64","44.40"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","07","Mathematics","Two or More Races","13","11","< 10","39.40","33.30","27.30","33","54.00"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","06","Mathematics","Not English Learners","268","282","223","34.70","36.50","28.80","773","52.50"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","Two or More Races","39","49","46","29.10","36.60","34.30","134","48.20"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","Mathematics","Two or More Races","< 10","15","< 10","22.60","48.40","29.00","31","48.90"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Mathematics","Two or More Races","< 10","< 10","18","21.20","24.20","54.50","33","36.50"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Mathematics","All Students","272","281","292","32.20","33.30","34.60","845","49.90"
