SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Social Studies","Students Without Disabilities","52","230","502","91","N/A","N/A","N/A","282","593","875","5.9","26.3","57.4","10.4","N/A","N/A","N/A","32.20","67.80","1488.1000000000000000","25.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Mathematics","Economically Disadvantaged","18","25","51","53","N/A","N/A","N/A","43","104","147","12.2","17.0","34.7","36.1","N/A","N/A","N/A","29.30","70.70","1483.6000000000000000","26.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Mathematics","Not Economically Disadvantaged","345","180","173","91","N/A","N/A","N/A","525","264","789","43.7","22.8","21.9","11.5","N/A","N/A","N/A","66.50","33.50","1509.0000000000000000","24.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Mathematics","Native Hawaiian or Other Pacific Islander","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Mathematics","Black or African American","5","7","9","28","N/A","N/A","N/A","12","37","49","10.2","14.3","18.4","57.1","N/A","N/A","N/A","24.50","75.50","1473.1000000000000000","29.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","ELA","All Students","379","190","156","99","N/A","N/A","N/A","569","255","824","46.0","23.1","18.9","12.0","N/A","N/A","N/A","69.10","30.90","1310.9000000000000000","24.2000000000000000","N/A","1241","1357","1294.00","1314.00","1329.00"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Science","Male","161","113","114","68","N/A","N/A","N/A","274","182","456","35.3","24.8","25.0","14.9","N/A","N/A","N/A","60.10","39.90","1504.6000000000000000","24.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Science","Asian","162","99","74","27","N/A","N/A","N/A","261","101","362","44.8","27.3","20.4","7.5","N/A","N/A","N/A","72.10","27.90","1512.1000000000000000","21.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Science","Two or More Races","9","9","14","6","N/A","N/A","N/A","18","20","38","23.7","23.7","36.8","15.8","N/A","N/A","N/A","47.40","52.60","1497.6000000000000000","22.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Science","White","123","134","117","63","N/A","N/A","N/A","257","180","437","28.1","30.7","26.8","14.4","N/A","N/A","N/A","58.80","41.20","1503.5000000000000000","23.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Social Studies","Students With Disabilities","<3","*","29","27","N/A","N/A","N/A","4","56","60","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","1463.2000000000000000","20.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
