SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","All Students","61.6000","919","574.2000","566","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","58.8000","919","1144.7000","540","75.3000","919","570.5000","692"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","American Indian or Alaska Native","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Asian","85.0000","320","666.5000","272","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81.6000","320","1302.0000","261","88.1000","320","635.5000","282"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","14.6000","48","431.7000","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12.5000","48","896.5000","6","43.8000","48","464.8000","21"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Economically Disadvantaged","29.9000","147","480.5000","44","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","27.9000","147","972.3000","41","51.7000","147","491.8000","76"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","English Language Learners","16.3000","49","437.6000","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","49","863.1000","<3","18.4000","49","425.5000","9"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Female","57.8000","462","561.8000","267","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","56.5000","462","1136.6000","261","77.5000","462","574.7000","358"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Hispanic","56.4000","39","549.7000","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","48.7000","39","1089.2000","19","61.5000","39","539.5000","24"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Homeless","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Male","65.4000","457","586.8000","299","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","61.1000","457","1153.0000","279","73.1000","457","566.2000","334"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Native Hawaiian or Other Pacific Islander","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","67.6000","772","592.1000","522","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","64.6000","772","1177.6000","499","79.8000","772","585.5000","616"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not English Language Learners","64.1000","870","581.9000","558","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","61.8000","870","1160.6000","538","78.5000","870","578.6000","683"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Foster Care","61.6000","919","574.2000","566","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","58.8000","919","1144.7000","540","75.3000","919","570.5000","692"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Homeless","61.8000","916","574.7000","566","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59.0000","916","1145.6000","540","75.3000","916","570.9000","690"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Migrant","61.6000","919","574.2000","566","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","58.8000","919","1144.7000","540","75.3000","919","570.5000","692"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Military Connected","61.6000","919","574.2000","566","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","58.8000","919","1144.7000","540","75.3000","919","570.5000","692"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Students with Disabilities","12.3000","73","416.4000","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.0000","73","858.9000","8","30.1000","73","442.5000","22"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Students without IEP","65.8000","846","587.9000","557","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","62.9000","846","1169.4000","532","79.2000","846","581.5000","670"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Two or More Races","52.8000","36","542.2000","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","50.0000","36","1092.2000","18","66.7000","36","550.0000","24"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","51.7000","472","530.9000","244","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","49.6000","472","1072.3000","234","71.8000","472","541.4000","339"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","All Students","70.6000","514","613.1000","363","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.3000","514","1213.4000","346","81.7000","514","600.3000","420"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","American Indian or Alaska Native","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Asian","88.8000","240","691.8000","213","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","85.8000","240","1345.6000","206","92.1000","240","653.8000","221"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","<=20%","28","413.2000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","28","864.3000","<3","32.1000","28","451.1000","9"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Economically Disadvantaged","35.8000","67","505.2000","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","34.3000","67","1019.7000","23","56.7000","67","514.5000","38"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","English Language Learners","24.0000","25","465.6000","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","25","894.4000","<3","<=20%","25","428.8000","5"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Female","65.7000","268","591.7000","176","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","64.2000","268","1191.3000","172","82.8000","268","599.6000","222"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Hispanic","72.7000","22","593.2000","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59.1000","22","1152.7000","13","63.6000","22","559.5000","14"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Homeless","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Male","76.0000","246","636.4000","187","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","70.7000","246","1237.5000","174","80.5000","246","601.1000","198"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","75.8000","447","629.3000","339","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","72.3000","447","1242.4000","323","85.5000","447","613.2000","382"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not English Language Learners","73.0000","489","620.6000","357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","70.6000","489","1229.7000","345","84.9000","489","609.1000","415"
"21 - 22 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Foster Care","70.6000","514","613.1000","363","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.3000","514","1213.4000","346","81.7000","514","600.3000","420"
