SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Students Without Disabilities","154","227","327","133","N/A","N/A","N/A","381","460","841","18.3","27.0","38.9","15.8","N/A","N/A","N/A","45.30","54.70","2099.8000000000000000","28.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Male","96","109","165","82","N/A","N/A","N/A","205","247","452","21.2","24.1","36.5","18.1","N/A","N/A","N/A","45.40","54.60","2099.8000000000000000","30.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Asian","98","95","96","29","N/A","N/A","N/A","193","125","318","30.8","29.9","30.2","9.1","N/A","N/A","N/A","60.70","39.30","2110.9000000000000000","29.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Two or More Races","5","9","15","6","N/A","N/A","N/A","14","21","35","14.3","25.7","42.9","17.1","N/A","N/A","N/A","40.00","60.00","2098.1000000000000000","25.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","White","51","110","210","100","N/A","N/A","N/A","161","310","471","10.8","23.4","44.6","21.2","N/A","N/A","N/A","34.20","65.80","2091.8000000000000000","25.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","All Students","158","232","368","155","N/A","N/A","N/A","390","523","913","17.3","25.4","40.3","17.0","N/A","N/A","N/A","42.70","57.30","2098.4000000000000000","28.4000000000000000","N/A","2029","2169","2074.00","2093.00","2120.00"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Hispanic of Any Race","4","13","17","4","N/A","N/A","N/A","17","21","38","10.5","34.2","44.7","10.5","N/A","N/A","N/A","44.70","55.30","2101.2000000000000000","24.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Not English Learners","237","198","102","330","N/A","N/A","N/A","435","432","867","27.3","22.8","11.8","38.1","N/A","N/A","N/A","50.20","49.80","2099.3000000000000000","28.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","English Learners","<3","*","8","35","N/A","N/A","N/A","3","43","46","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2072.8000000000000000","18.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"21 - 22 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Female","102","112","57","189","N/A","N/A","N/A","214","246","460","22.2","24.3","12.4","41.1","N/A","N/A","N/A","46.50","53.50","2096.7000000000000000","26.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
