SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","04","ELA","Male","226","106","63","56","N/A","N/A","N/A","332","119","451","50.1","23.5","14.0","12.4","N/A","N/A","N/A","73.60","26.40","1412.5000000000000000","24.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","04","ELA","Asian","218","79","36","28","N/A","N/A","N/A","297","64","361","60.4","21.9","10.0","7.8","N/A","N/A","N/A","82.30","17.70","1417.9000000000000000","22.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","04","ELA","Two or More Races","12","8","5","4","N/A","N/A","N/A","20","9","29","41.4","27.6","<=20%","<=20%","N/A","N/A","N/A","69.00","31.00","1409.6000000000000000","21.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","04","ELA","White","180","84","58","45","N/A","N/A","N/A","264","103","367","49.0","22.9","15.8","12.3","N/A","N/A","N/A","71.90","28.10","1412.2000000000000000","22.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","04","ELA","Hispanic of Any Race","12","15","8","12","N/A","N/A","N/A","27","20","47","25.5","31.9","17.0","25.5","N/A","N/A","N/A","57.40","42.60","1401.4000000000000000","25.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","04","ELA","Black or African American","6","12","8","14","N/A","N/A","N/A","18","22","40","15.0","30.0","20.0","35.0","N/A","N/A","N/A","45.00","55.00","1391.4000000000000000","24.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","Mathematics","All Students","368","244","140","85","N/A","N/A","N/A","612","225","837","44.0","29.2","16.7","10.2","N/A","N/A","N/A","73.10","26.90","1314.7000000000000000","25.9000000000000000","N/A","1226","1361","1297.00","1316.00","1332.00"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","04","ELA","Native Hawaiian or Other Pacific Islander","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","04","ELA","Not Economically Disadvantaged","390","162","82","64","N/A","N/A","N/A","552","146","698","55.9","23.2","11.7","9.2","N/A","N/A","N/A","79.10","20.90","1415.9000000000000000","22.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","04","ELA","Economically Disadvantaged","39","36","33","39","N/A","N/A","N/A","75","72","147","26.5","24.5","22.4","26.5","N/A","N/A","N/A","51.00","49.00","1399.0000000000000000","25.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
