SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,SchoolCode,SchoolName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Subject,Category,Group,PercentBottom30,NumberBottom30,PercentMiddle40,NumberMiddle40,PercentTop30,NumberTop30,NumberOfStudents
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","English Learners","67.80","40","28.80","17","< 5","< 10","59"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Not Homeless","29.60","177","40.20","240","30.20","180","597"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Homeless","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Gender","Female","27.90","78","41.10","115","31.10","87","280"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Gender","Male","31.80","102","39.30","126","29.00","93","321"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Race/Ethnicity","Asian","13.50","30","39.60","88","46.80","104","222"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Students with Disabilities","73.30","11","26.70","< 10","< 5","< 10","15"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Students without IEP","26.60","47","40.70","72","32.80","58","177"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Grade","08","30.20","58","39.60","76","30.20","58","192"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Economically Disadvantaged","64.00","32","26.00","13","10.00","< 10","50"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Not Economically Disadvantaged","18.30","26","44.40","63","37.30","53","142"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Race/Ethnicity","Black, not of Hispanic origin","50.00","< 10","40.00","< 10","10.00","< 10","10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Race/Ethnicity","Hispanic","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Race/Ethnicity","White, not of Hispanic origin","39.60","38","38.50","37","21.90","21","96"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Race/Ethnicity","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Race/Ethnicity","Asian","10.80","< 10","44.60","33","44.60","33","74"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Gender","Male","28.30","32","35.40","40","36.30","41","113"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Gender","Female","32.90","26","45.60","36","21.50","17","79"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Homeless","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Not Homeless","29.80","57","39.80","76","30.40","58","191"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","English Learners","77.80","14","16.70","< 10","5.60","< 10","18"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Not English Learners","25.30","44","42.00","73","32.80","57","174"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Not Migrant","30.20","58","39.60","76","30.20","58","192"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Grade","06","26.40","53","38.80","78","34.80","70","201"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Grade","07","31.60","68","38.10","82","30.20","65","215"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Grade","08","31.80","61","43.80","84","24.50","47","192"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Economically Disadvantaged","56.70","93","36.00","59","7.30","12","164"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Not Economically Disadvantaged","20.00","89","41.70","185","38.30","170","444"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Race/Ethnicity","Black, not of Hispanic origin","65.20","30","30.40","14","< 5","< 10","46"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Race/Ethnicity","Hispanic","51.20","21","36.60","15","12.20","< 10","41"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Race/Ethnicity","White, not of Hispanic origin","36.60","98","45.10","121","18.30","49","268"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Race/Ethnicity","Two or More Races","29.60","< 10","44.40","12","25.90","< 10","27"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Race/Ethnicity","Asian","11.10","25","36.40","82","52.40","118","225"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Gender","Male","26.90","88","41.60","136","31.50","103","327"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Gender","Female","33.50","94","38.40","108","28.10","79","281"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Gender","Female","33.30","26","51.30","40","15.40","12","78"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Homeless","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Not Homeless","29.60","56","40.20","76","30.20","57","189"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","English Learners","70.60","12","29.40","< 10","< 5","< 10","17"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Not English Learners","26.00","45","41.00","71","32.90","57","173"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Not Migrant","30.00","57","40.00","76","30.00","57","190"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Economically Disadvantaged","57.40","93","32.10","52","10.50","17","162"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Not Economically Disadvantaged","19.80","87","43.10","189","37.10","163","439"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Race/Ethnicity","Black, not of Hispanic origin","66.70","30","26.70","12","6.70","< 10","45"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Race/Ethnicity","Hispanic","51.30","20","41.00","16","7.70","< 10","39"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Race/Ethnicity","White, not of Hispanic origin","34.50","92","42.30","113","23.20","62","267"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Race/Ethnicity","Two or More Races","29.60","< 10","40.70","11","29.60","< 10","27"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Students with Disabilities","76.90","10","23.10","< 10","< 5","< 10","13"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Students without IEP","26.60","47","41.20","73","32.20","57","177"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Grade","08","30.00","57","40.00","76","30.00","57","190"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Economically Disadvantaged","60.40","29","29.20","14","10.40","< 10","48"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Not Economically Disadvantaged","19.70","28","43.70","62","36.60","52","142"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Race/Ethnicity","Black, not of Hispanic origin","60.00","< 10","30.00","< 10","10.00","< 10","10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Race/Ethnicity","Hispanic","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Race/Ethnicity","White, not of Hispanic origin","39.40","37","35.10","33","25.50","24","94"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Race/Ethnicity","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Race/Ethnicity","Asian","10.80","< 10","50.00","37","39.20","29","74"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Gender","Male","27.70","31","32.10","36","40.20","45","112"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Homeless","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Not Homeless","29.40","177","40.50","244","30.20","182","603"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","English Learners","59.40","38","34.40","22","6.30","< 10","64"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Not English Learners","26.50","144","40.80","222","32.70","178","544"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Not Migrant","29.90","182","40.10","244","29.90","182","608"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Not English Learners","25.80","140","41.30","224","32.80","178","542"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Not Migrant","30.00","180","40.10","241","30.00","180","601"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Students with Disabilities","80.70","46","15.80","< 10","< 5","< 10","57"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Students without IEP","24.70","136","42.60","235","32.70","180","551"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Students without IEP","24.10","131","42.80","233","33.10","180","544"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Grade","06","26.60","53","42.70","85","30.70","61","199"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Grade","07","31.10","66","39.60","84","29.20","62","212"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Grade","08","32.10","61","37.90","72","30.00","57","190"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Students with Disabilities","86.00","49","14.00","< 10","< 5","< 10","57"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Program Participation","Not Migrant","29.90","60","40.30","81","29.90","60","201"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Program Participation","Not English Learners","23.10","36","40.40","63","36.50","57","156"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Program Participation","English Learners","53.30","24","40.00","18","6.70","< 10","45"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Program Participation","Not Homeless","29.90","60","40.30","81","29.90","60","201"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Gender","Female","28.70","27","36.20","34","35.10","33","94"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Gender","Male","30.80","33","43.90","47","25.20","27","107"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Race/Ethnicity","Asian","27.50","22","36.30","29","36.30","29","80"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Race/Ethnicity","Two or More Races","30.80","< 10","38.50","< 10","30.80","< 10","13"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Race/Ethnicity","White, not of Hispanic origin","30.90","29","41.50","39","27.70","26","94"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Race/Ethnicity","Hispanic","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Race/Ethnicity","Black, not of Hispanic origin","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Program Participation","Not Economically Disadvantaged","26.70","46","40.10","69","33.10","57","172"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Program Participation","Economically Disadvantaged","48.30","14","41.40","12","10.30","< 10","29"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Grade","05","42.90","30","34.30","24","22.90","16","70"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Grade","04","21.90","14","45.30","29","32.80","21","64"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Grade","03","23.90","16","41.80","28","34.30","23","67"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Program Participation","Students without IEP","23.20","42","43.60","79","33.10","60","181"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Program Participation","Students with Disabilities","90.00","18","10.00","< 10","< 5","< 10","20"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Science","Grade","05","30.00","21","40.00","28","30.00","21","70"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Science","Program Participation","Students without IEP","21.70","13","43.30","26","35.00","21","60"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Science","Program Participation","Students with Disabilities","80.00","< 10","20.00","< 10","< 5","< 10","10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Program Participation","Not Migrant","30.20","61","39.60","80","30.20","61","202"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Program Participation","Not English Learners","28.20","44","37.20","58","34.60","54","156"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Program Participation","English Learners","37.00","17","47.80","22","15.20","< 10","46"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Program Participation","Not Homeless","30.20","61","39.60","80","30.20","61","202"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Gender","Female","34.70","33","43.20","41","22.10","21","95"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Gender","Male","26.20","28","36.40","39","37.40","40","107"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Race/Ethnicity","Asian","17.50","14","43.80","35","38.80","31","80"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Race/Ethnicity","Two or More Races","15.40","< 10","76.90","10","7.70","< 10","13"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Race/Ethnicity","White, not of Hispanic origin","39.40","37","30.90","29","29.80","28","94"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Race/Ethnicity","Hispanic","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Race/Ethnicity","Black, not of Hispanic origin","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Program Participation","Not Economically Disadvantaged","26.00","45","40.50","70","33.50","58","173"
