SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Grade,Subject,TestingGroup,NumberAboveAverageGrowth,NumberAverageGrowth,NumberBelowAverageGrowth,PercentAboveAverage,PercentAverageGrowth,PercentBelowAverage,TotalIncluded,MeanSGP
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","05","Mathematics","Students without Disabilities","346","311","163","42.20","37.90","19.90","820","60.20"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","07","Mathematics","All Students","328","354","220","36.40","39.20","24.40","902","55.20"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","04","Mathematics","Asian","144","144","54","42.10","42.10","15.80","342","61.40"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","05","Mathematics","Asian","174","131","46","49.60","37.30","13.10","351","67.00"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","05","Mathematics","Two or More Races","15","11","< 10","44.10","32.40","23.50","34","61.60"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","06","Mathematics","Two or More Races","20","< 10","10","52.60","21.10","26.30","38","60.70"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","06","Mathematics","Asian","201","98","43","58.80","28.70","12.60","342","69.40"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","07","Mathematics","Asian","150","126","66","43.90","36.80","19.30","342","60.40"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","05","English Language Arts","Hispanic","< 10","17","< 10","21.90","53.10","25.00","32","47.90"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","05","English Language Arts","Economically Disadvantaged","42","51","57","28.00","34.00","38.00","150","47.50"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","04","English Language Arts","Not English Learners","276","225","124","44.20","36.00","19.80","625","60.50"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","04","English Language Arts","Hispanic","14","21","< 10","35.00","52.50","12.50","40","61.00"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","04","English Language Arts","Economically Disadvantaged","49","56","38","34.30","39.20","26.60","143","54.60"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","English Language Arts","Not English Learners","382","308","167","44.60","35.90","19.50","857","61.00"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","English Language Arts","Hispanic","16","12","14","38.10","28.60","33.30","42","52.70"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","English Language Arts","Economically Disadvantaged","51","60","33","35.40","41.70","22.90","144","55.40"
