SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","All Students","61.3000","944","569.3000","579","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59.7000","943","1130.4000","563","76.9000","943","561.0000","725"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","American Indian or Alaska Native","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Asian","89.2000","287","676.4000","256","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","88.2000","287","1311.5000","253","94.1000","287","635.1000","270"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","23.4000","47","448.1000","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21.3000","47","913.8000","10","44.7000","47","465.7000","21"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Economically Disadvantaged","37.5000","160","490.7000","60","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","36.3000","160","990.5000","58","57.5000","160","499.8000","92"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","English Language Learners","22.8000","57","456.0000","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","19.6000","56","891.3000","11","37.5000","56","434.6000","21"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Female","58.3000","458","557.7000","267","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","57.0000","458","1117.7000","261","77.5000","458","560.0000","355"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Foster Care","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Hispanic","35.3000","51","490.2000","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","34.0000","50","985.8000","17","52.0000","50","494.2000","26"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Male","64.2000","486","580.2000","312","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","62.3000","485","1142.4000","302","76.3000","485","561.9000","370"
