SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","All Students","160","179","104","488","N/A","N/A","N/A","339","592","931","17.2","19.2","11.2","52.4","N/A","N/A","N/A","36.40","63.60","2090.0000000000000000","28.5000000000000000","N/A","2036","2169","2067.00","2087.00","2111.00"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Hispanic of Any Race","5","6","8","30","N/A","N/A","N/A","11","38","49","10.2","12.2","16.3","61.2","N/A","N/A","N/A","22.40","77.60","2081.9000000000000000","26.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Black or African American","3","4","3","35","N/A","N/A","N/A","7","38","45","<=10%","<=10%","<=10%","*","N/A","N/A","N/A","15.60","84.40","2074.5000000000000000","22.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","American Indian or Alaska Native","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Native Hawaiian or Other Pacific Islander","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Not Economically Disadvantaged","147","162","94","373","N/A","N/A","N/A","309","467","776","18.9","20.9","12.1","48.1","N/A","N/A","N/A","39.80","60.20","2092.3000000000000000","28.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Economically Disadvantaged","13","17","10","115","N/A","N/A","N/A","30","125","155","8.4","11.0","6.5","74.2","N/A","N/A","N/A","19.40","80.60","2078.1000000000000000","25.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Female","58","88","56","253","N/A","N/A","N/A","146","309","455","12.7","19.3","12.3","55.6","N/A","N/A","N/A","32.10","67.90","2088.1000000000000000","24.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Male","102","91","48","235","N/A","N/A","N/A","193","283","476","21.4","19.1","10.1","49.4","N/A","N/A","N/A","40.50","59.50","2091.8000000000000000","31.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Asian","94","80","29","85","N/A","N/A","N/A","174","114","288","32.6","27.8","10.1","29.5","N/A","N/A","N/A","60.40","39.60","2105.7000000000000000","26.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Two or More Races","7","5","<3","*","N/A","N/A","N/A","12","22","34","20.6","14.7","<=10%","*","N/A","N/A","N/A","35.30","64.70","2086.1000000000000000","31.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Students Without Disabilities","153","175","99","428","N/A","N/A","N/A","328","527","855","17.9","20.5","11.6","50.1","N/A","N/A","N/A","38.40","61.60","2091.5000000000000000","28.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","English Learners","<3","*","4","48","N/A","N/A","N/A","4","52","56","<=10%","<=10%","<=10%","*","N/A","N/A","N/A","<=10%",">=90%","2071.4000000000000000","16.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Not English Learners","160","175","100","440","N/A","N/A","N/A","335","540","875","18.3","20.0","11.4","50.3","N/A","N/A","N/A","38.30","61.70","2091.2000000000000000","28.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Students With Disabilities","7","4","5","60","N/A","N/A","N/A","11","65","76","9.2","5.3","6.6","78.9","N/A","N/A","N/A","14.50","85.50","2073.2000000000000000","25.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","White","50","83","62","317","N/A","N/A","N/A","133","379","512","9.8","16.2","12.1","61.9","N/A","N/A","N/A","26.00","74.00","2083.5000000000000000","26.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","All Students","126","187","396","217","N/A","N/A","N/A","313","613","926","13.6","20.2","42.8","23.4","N/A","N/A","N/A","33.80","66.20","2092.4000000000000000","27.9000000000000000","N/A","2022","2168","2072.00","2086.00","2114.00"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Students With Disabilities","6","10","38","21","N/A","N/A","N/A","16","59","75","8.0","13.3","50.7","28.0","N/A","N/A","N/A","21.30","78.70","2084.3000000000000000","22.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Students Without Disabilities","120","177","358","196","N/A","N/A","N/A","297","554","851","14.1","20.8","42.1","23.0","N/A","N/A","N/A","34.90","65.10","2093.1000000000000000","28.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Black or African American","3","7","21","14","N/A","N/A","N/A","10","35","45","<=10%","*","46.7","31.1","N/A","N/A","N/A","22.20","77.80","2083.6000000000000000","24.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Hispanic of Any Race","4","8","23","14","N/A","N/A","N/A","12","37","49","<=10%","*","46.9","28.6","N/A","N/A","N/A","24.50","75.50","2087.6000000000000000","24.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","White","48","81","239","139","N/A","N/A","N/A","129","378","507","9.5","16.0","47.1","27.4","N/A","N/A","N/A","25.40","74.60","2087.0000000000000000","25.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Two or More Races","5","4","14","11","N/A","N/A","N/A","9","25","34","14.7","11.8","41.2","32.4","N/A","N/A","N/A","26.50","73.50","2089.1000000000000000","30.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Asian","66","85","99","38","N/A","N/A","N/A","151","137","288","22.9","29.5","34.4","13.2","N/A","N/A","N/A","52.40","47.60","2104.4000000000000000","28.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Economically Disadvantaged","9","17","76","52","N/A","N/A","N/A","26","128","154","5.8","11.0","49.4","33.8","N/A","N/A","N/A","16.90","83.10","2081.7000000000000000","21.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Not Economically Disadvantaged","117","170","320","165","N/A","N/A","N/A","287","485","772","15.2","22.0","41.5","21.4","N/A","N/A","N/A","37.20","62.80","2094.5000000000000000","28.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Native Hawaiian or Other Pacific Islander","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","American Indian or Alaska Native","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Male","89","93","180","111","N/A","N/A","N/A","182","291","473","18.8","19.7","38.1","23.5","N/A","N/A","N/A","38.50","61.50","2095.2000000000000000","30.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Female","37","94","216","106","N/A","N/A","N/A","131","322","453","8.2","20.8","47.7","23.4","N/A","N/A","N/A","28.90","71.10","2089.5000000000000000","24.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","English Learners","<3","*","33","19","N/A","N/A","N/A","4","52","56","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2076.6000000000000000","13.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Not English Learners","126","183","363","198","N/A","N/A","N/A","309","561","870","14.5","21.0","41.7","22.8","N/A","N/A","N/A","35.50","64.50","2093.4000000000000000","28.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
