SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","Mathematics","All Students","364","237","132","97","N/A","N/A","N/A","601","229","830","43.9","28.6","15.9","11.7","N/A","N/A","N/A","72.40","27.60","1313.5000000000000000","26.6000000000000000","N/A","1220","1361","1298.00","1316.00","1331.00"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","ELA","English Learners","37","64","64","56","N/A","N/A","N/A","101","120","221","16.7","29.0","29.0","25.3","N/A","N/A","N/A","45.70","54.30","1294.8000000000000000","23.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","Mathematics","Students With Disabilities","12","18","18","34","N/A","N/A","N/A","30","52","82","14.6","22.0","22.0","41.5","N/A","N/A","N/A","36.60","63.40","1288.5000000000000000","29.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","Mathematics","Not English Learners","280","162","91","62","N/A","N/A","N/A","442","153","595","47.1","27.2","15.3","10.4","N/A","N/A","N/A","74.30","25.70","1315.3000000000000000","26.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","Mathematics","English Learners","84","75","41","35","N/A","N/A","N/A","159","76","235","35.7","31.9","17.4","14.9","N/A","N/A","N/A","67.70","32.30","1309.2000000000000000","25.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","Mathematics","Female","154","111","72","46","N/A","N/A","N/A","265","118","383","40.2","29.0","18.8","12.0","N/A","N/A","N/A","69.20","30.80","1311.7000000000000000","24.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","Mathematics","Male","210","126","60","51","N/A","N/A","N/A","336","111","447","47.0","28.2","13.4","11.4","N/A","N/A","N/A","75.20","24.80","1315.1000000000000000","28.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","Mathematics","Asian","199","75","29","20","N/A","N/A","N/A","274","49","323","61.6","23.2","9.0","6.2","N/A","N/A","N/A","84.80","15.20","1323.6000000000000000","24.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","ELA","Female","143","118","59","55","N/A","N/A","N/A","261","114","375","38.1","31.5","15.7","14.7","N/A","N/A","N/A","69.60","30.40","1307.7000000000000000","24.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","ELA","Male","142","113","101","85","N/A","N/A","N/A","255","186","441","32.2","25.6","22.9","19.3","N/A","N/A","N/A","57.80","42.20","1302.7000000000000000","26.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","ELA","Asian","132","90","54","36","N/A","N/A","N/A","222","90","312","42.3","28.8","17.3","11.5","N/A","N/A","N/A","71.20","28.80","1310.8000000000000000","24.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","ELA","Two or More Races","22","12","3","8","N/A","N/A","N/A","34","11","45","48.9","26.7","<=10%","*","N/A","N/A","N/A","75.60","24.40","1311.0000000000000000","27.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","ELA","White","116","103","86","63","N/A","N/A","N/A","219","149","368","31.5","28.0","23.4","17.1","N/A","N/A","N/A","59.50","40.50","1302.9000000000000000","23.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","ELA","Hispanic of Any Race","10","16","4","16","N/A","N/A","N/A","26","20","46","21.7","34.8","<=10%","*","N/A","N/A","N/A","56.50","43.50","1294.8000000000000000","29.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","03","ELA","Black or African American","5","9","13","17","N/A","N/A","N/A","14","30","44","11.4","20.5","29.5","38.6","N/A","N/A","N/A","31.80","68.20","1285.5000000000000000","26.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","07","ELA","Not English Learners","263","337","138","127","N/A","N/A","N/A","600","265","865","30.4","39.0","16.0","14.7","N/A","N/A","N/A","69.40","30.60","1709.5000000000000000","26.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","06","Mathematics","Two or More Races","15","9","7","6","N/A","N/A","N/A","24","13","37","40.5","24.3","18.9","16.2","N/A","N/A","N/A","64.90","35.10","1605.3000000000000000","24.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","06","Mathematics","Hispanic of Any Race","11","7","17","8","N/A","N/A","N/A","18","25","43","25.6","16.3","39.5","18.6","N/A","N/A","N/A","41.90","58.10","1595.1000000000000000","25.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","06","Mathematics","White","125","129","115","79","N/A","N/A","N/A","254","194","448","27.9","28.8","25.7","17.6","N/A","N/A","N/A","56.70","43.30","1599.6000000000000000","23.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
