SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","All Students","59.5000","953","565.9000","567","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","57.0000","952","1122.1000","543","77.3000","952","556.1000","736"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Asian","86.2000","327","652.6000","282","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","83.8000","327","1261.0000","274","88.1000","327","608.4000","288"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","15.6000","45","436.7000","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","15.6000","45","892.2000","7","42.2000","45","455.6000","19"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Economically Disadvantaged","26.4000","144","476.8000","38","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.6000","144","955.6000","34","52.1000","144","478.8000","75"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","English Language Learners","21.2000","52","454.0000","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","15.7000","51","866.3000","8","27.5000","51","412.0000","14"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Female","57.0000","470","559.8000","268","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","55.7000","470","1121.8000","262","80.4000","470","562.0000","378"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Foster Care","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Hispanic","39.6000","48","492.9000","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","36.2000","47","1002.8000","17","66.0000","47","508.7000","31"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Homeless","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Male","61.9000","483","571.8000","299","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","58.3000","482","1122.3000","281","74.3000","482","550.3000","358"
