SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Economically Disadvantaged","8","25","74","36","N/A","N/A","N/A","33","110","143","5.6","17.5","51.7","25.2","N/A","N/A","N/A","23.10","76.90","2086.0000000000000000","22.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Not Economically Disadvantaged","126","287","312","90","N/A","N/A","N/A","413","402","815","15.5","35.2","38.3","11.0","N/A","N/A","N/A","50.70","49.30","2102.0000000000000000","26.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Black or African American","3","10","22","10","N/A","N/A","N/A","13","32","45","<=10%","*","48.9","22.2","N/A","N/A","N/A","28.90","71.10","2088.9000000000000000","23.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Hispanic of Any Race","3","21","16","7","N/A","N/A","N/A","24","23","47","<=10%","*","34.0","14.9","N/A","N/A","N/A","51.10","48.90","2097.8000000000000000","23.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","White","58","143","218","73","N/A","N/A","N/A","201","291","492","11.8","29.1","44.3","14.8","N/A","N/A","N/A","40.90","59.10","2096.6000000000000000","25.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Economically Disadvantaged","9","22","10","102","N/A","N/A","N/A","31","112","143","6.3","15.4","7.0","71.3","N/A","N/A","N/A","21.70","78.30","2079.0000000000000000","23.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Not Economically Disadvantaged","195","219","103","301","N/A","N/A","N/A","414","404","818","23.8","26.8","12.6","36.8","N/A","N/A","N/A","50.60","49.40","2098.4000000000000000","26.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Students With Disabilities","<3","*","21","17","N/A","N/A","N/A","6","38","44","<=10%","<=10%","47.7","38.6","N/A","N/A","N/A","13.60","86.40","2079.5000000000000000","21.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Not English Learners","133","308","356","109","N/A","N/A","N/A","441","465","906","14.7","34.0","39.3","12.0","N/A","N/A","N/A","48.70","51.30","2100.9000000000000000","26.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"23 - 24 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","English Learners","<3","*","30","17","N/A","N/A","N/A","5","47","52","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2077.4000000000000000","17.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
