SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,SchoolCode,SchoolName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Subject,Category,Group,PercentBottom30,NumberBottom30,PercentMiddle40,NumberMiddle40,PercentTop30,NumberTop30,NumberOfStudents
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Economically Disadvantaged","57.90","33","29.80","17","12.30","< 10","57"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Grade","06","23.90","49","45.90","94","30.20","62","205"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Grade","06","22.70","46","37.90","77","39.40","80","203"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Grade","07","28.00","58","39.60","82","32.40","67","207"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Grade","07","33.00","68","40.30","83","26.70","55","206"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Grade","08","37.70","80","34.90","74","27.40","58","212"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Grade","08","34.00","72","42.00","89","24.10","51","212"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Grade","08","30.20","64","39.60","84","30.20","64","212"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Grade","08","29.90","64","40.20","86","29.90","64","214"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Race/Ethnicity","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Race/Ethnicity","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Race/Ethnicity","Asian","13.10","29","35.10","78","51.80","115","222"
