SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,SchoolCode,SchoolName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Subject,Category,Group,PercentBottom30,NumberBottom30,PercentMiddle40,NumberMiddle40,PercentTop30,NumberTop30,NumberOfStudents
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","English Learners","68.40","13","31.60","< 10","< 5","< 10","19"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Economically Disadvantaged","51.00","75","34.70","51","14.30","21","147"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Homeless","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","English Learners","70.00","14","30.00","< 10","< 5","< 10","20"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Homeless","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","English Learners","63.20","43","32.40","22","< 5","< 10","68"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Students with Disabilities","84.20","16","15.80","< 10","< 5","< 10","19"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Grade","06","30.30","59","43.10","84","26.70","52","195"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Grade","06","27.20","53","40.00","78","32.80","64","195"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Grade","07","27.10","57","36.70","77","36.20","76","210"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Grade","07","25.70","54","45.20","95","29.00","61","210"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Grade","08","32.80","67","40.20","82","27.00","55","204"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Grade","08","30.00","61","39.90","81","30.00","61","203"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Grade","08","37.30","76","34.30","70","28.40","58","204"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Grade","08","30.10","62","39.80","82","30.10","62","206"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Race/Ethnicity","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Race/Ethnicity","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Race/Ethnicity","Asian","10.70","< 10","41.30","31","48.00","36","75"
