SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","04","Mathematics","Students Without Disabilities","309","221","183","41","N/A","N/A","N/A","530","224","754","41.0","29.3","24.3","5.4","N/A","N/A","N/A","70.30","29.70","1412.7000000000000000","23.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Social Studies","Students Without Disabilities","205","219","286","78","N/A","N/A","N/A","424","364","788","26.0","27.8","36.3","9.9","N/A","N/A","N/A","53.80","46.20","1501.0000000000000000","24.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Science","Students With Disabilities","10","12","26","34","N/A","N/A","N/A","22","60","82","12.2","14.6","31.7","41.5","N/A","N/A","N/A","26.80","73.20","1483.8000000000000000","23.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","08","Science","Students With Disabilities","3","10","12","29","N/A","N/A","N/A","13","41","54","<=10%","*","22.2","53.7","N/A","N/A","N/A","24.10","75.90","1781.2000000000000000","23.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","06","ELA","Students With Disabilities","<3","*","25","39","N/A","N/A","N/A","17","64","81","<=5%","*","30.9","48.1","N/A","N/A","N/A","21.00","79.00","1578.3000000000000000","24.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","ELA","Students With Disabilities","4","15","25","38","N/A","N/A","N/A","19","63","82","<=5%","*","30.5","46.3","N/A","N/A","N/A","23.20","76.80","1482.2000000000000000","24.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","06","ELA","All Students","275","322","204","124","N/A","N/A","N/A","597","328","925","29.7","34.8","22.1","13.4","N/A","N/A","N/A","64.50","35.50","1607.8000000000000000","25.8000000000000000","N/A","1524","1655","1590.00","1611.00","1627.00"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","06","Mathematics","Students With Disabilities","6","13","20","43","N/A","N/A","N/A","19","63","82","7.3","15.9","24.4","52.4","N/A","N/A","N/A","23.20","76.80","1576.0000000000000000","27.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","05","Mathematics","Students With Disabilities","10","13","9","49","N/A","N/A","N/A","23","58","81","12.3","16.0","11.1","60.5","N/A","N/A","N/A","28.40","71.60","1476.4000000000000000","28.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","04","Mathematics","Students With Disabilities","13","15","25","40","N/A","N/A","N/A","28","65","93","14.0","16.1","26.9","43.0","N/A","N/A","N/A","30.10","69.90","1382.8000000000000000","30.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
