SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Grade,Subject,TestingGroup,NumberAboveAverageGrowth,NumberAverageGrowth,NumberBelowAverageGrowth,PercentAboveAverage,PercentAverageGrowth,PercentBelowAverage,TotalIncluded,MeanSGP
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","08","Social Studies","Students with Disabilities","12","14","28","22.20","25.90","51.90","54","40.60"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","English Language Arts","Students with Disabilities","21","26","17","32.80","40.60","26.60","64","51.10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","English Language Arts","Not Migrant","389","299","152","46.30","35.60","18.10","840","61.00"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Mathematics","All Students","393","288","160","46.70","34.20","19.00","841","61.60"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Mathematics","Economically Disadvantaged","41","35","42","34.70","29.70","35.60","118","50.90"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Mathematics","Not Economically Disadvantaged","352","253","118","48.70","35.00","16.30","723","63.40"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","Mathematics","Students without Disabilities","376","269","132","48.40","34.60","17.00","777","63.10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","11","English Language Arts","Students without Disabilities","368","273","135","47.40","35.20","17.40","776","61.80"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","07","English Language Arts","Students with Disabilities","12","25","32","17.40","36.20","46.40","69","40.70"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Not Economically Disadvantaged","481","561","414","33.00","38.50","28.40","1456","52.80"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","Economically Disadvantaged","58","85","78","26.20","38.50","35.30","221","46.50"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Social Studies","All Students","539","646","492","32.10","38.50","29.30","1677","52.00"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Science","Not Migrant","612","653","411","36.50","39.00","24.50","1676","55.10"
