SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Economically Disadvantaged","13","30","32","53","N/A","N/A","N/A","43","85","128","10.2","23.4","25.0","41.4","N/A","N/A","N/A","33.60","66.40","2093.1000000000000000","25.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Not Economically Disadvantaged","187","274","125","172","N/A","N/A","N/A","461","297","758","24.7","36.1","16.5","22.7","N/A","N/A","N/A","60.80","39.20","2107.4000000000000000","28.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","All Students","200","304","157","225","N/A","N/A","N/A","504","382","886","22.6","34.3","17.7","25.4","N/A","N/A","N/A","56.90","43.10","2105.4000000000000000","28.2000000000000000","N/A","2031","2172","2079.00","2105.00","2128.00"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Native Hawaiian or Other Pacific Islander","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","American Indian or Alaska Native","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Black or African American","3","7","8","34","N/A","N/A","N/A","10","42","52","<=10%","*","15.4","65.4","N/A","N/A","N/A","19.20","80.80","2082.0000000000000000","22.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Not English Learners","224","209","110","269","N/A","N/A","N/A","433","379","812","27.6","25.7","13.5","33.1","N/A","N/A","N/A","53.30","46.70","2102.2000000000000000","25.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","English Learners","4","6","8","52","N/A","N/A","N/A","10","60","70","5.7","8.6","11.4","74.3","N/A","N/A","N/A","14.30","85.70","2075.3000000000000000","21.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Female","90","98","65","143","N/A","N/A","N/A","188","208","396","22.7","24.7","16.4","36.1","N/A","N/A","N/A","47.50","52.50","2098.8000000000000000","24.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Male","138","117","53","178","N/A","N/A","N/A","255","231","486","28.4","24.1","10.9","36.6","N/A","N/A","N/A","52.50","47.50","2101.1000000000000000","28.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","English Learners","<3","*","17","44","N/A","N/A","N/A","10","61","71","<=5%","*","23.9","62.0","N/A","N/A","N/A","14.10","85.90","2079.0000000000000000","18.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Not English Learners","199","295","140","181","N/A","N/A","N/A","494","321","815","24.4","36.2","17.2","22.2","N/A","N/A","N/A","60.60","39.40","2107.7000000000000000","27.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Not Economically Disadvantaged","211","193","99","252","N/A","N/A","N/A","404","351","755","27.9","25.6","13.1","33.4","N/A","N/A","N/A","53.50","46.50","2102.0000000000000000","26.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Economically Disadvantaged","17","22","19","69","N/A","N/A","N/A","39","88","127","13.4","17.3","15.0","54.3","N/A","N/A","N/A","30.70","69.30","2088.7000000000000000","24.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Asian","135","81","43","61","N/A","N/A","N/A","216","104","320","42.2","25.3","13.4","19.1","N/A","N/A","N/A","67.50","32.50","2111.6000000000000000","24.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Two or More Races","7","8","6","10","N/A","N/A","N/A","15","16","31","22.6","25.8","19.4","32.3","N/A","N/A","N/A","48.40","51.60","2103.4000000000000000","25.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","White","76","105","54","191","N/A","N/A","N/A","181","245","426","17.8","24.6","12.7","44.8","N/A","N/A","N/A","42.50","57.50","2094.6000000000000000","25.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Science","Hispanic of Any Race","7","13","6","22","N/A","N/A","N/A","20","28","48","14.6","27.1","12.5","45.8","N/A","N/A","N/A","41.70","58.30","2090.9000000000000000","27.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Female","69","156","88","85","N/A","N/A","N/A","225","173","398","17.3","39.2","22.1","21.4","N/A","N/A","N/A","56.50","43.50","2104.5000000000000000","25.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Male","131","148","69","140","N/A","N/A","N/A","279","209","488","26.8","30.3","14.1","28.7","N/A","N/A","N/A","57.20","42.80","2106.0000000000000000","30.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"24 - 25 School Year","M-STEP","N/A","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","11","Social Studies","Asian","106","121","53","41","N/A","N/A","N/A","227","94","321","33.0","37.7","16.5","12.8","N/A","N/A","N/A","70.70","29.30","2115.4000000000000000","26.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
