SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","All Students","60.7000","887","570.0000","538","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59.3000","885","1136.6000","525","79.3000","885","565.9000","702"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","American Indian or Alaska Native","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Asian","87.9000","322","666.0000","283","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","85.7000","322","1298.4000","276","93.5000","322","632.4000","301"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","17.0000","53","442.1000","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","17.0000","53","910.9000","9","43.4000","53","468.9000","23"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Economically Disadvantaged","26.4000","129","470.9000","34","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.4000","129","961.4000","34","57.4000","129","490.5000","74"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","English Language Learners","29.6000","71","458.0000","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.2000","69","902.6000","16","34.8000","69","439.4000","24"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Female","57.2000","397","562.3000","227","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","56.7000","397","1132.9000","225","81.6000","397","570.6000","324"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Foster Care","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Hispanic","31.3000","48","480.8000","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","31.9000","47","987.2000","15","59.6000","47","503.8000","28"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Homeless","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Male","63.5000","490","576.2000","311","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","61.5000","488","1139.6000","300","77.5000","488","562.2000","378"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Military Connected","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Native Hawaiian or Other Pacific Islander","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","66.5000","758","586.9000","504","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","64.9000","756","1166.5000","491","83.1000","756","578.8000","628"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not English Language Learners","63.4000","816","579.7000","517","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","62.4000","816","1156.4000","509","83.1000","816","576.6000","678"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Foster Care","60.7000","886","570.2000","538","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59.4000","884","1137.0000","525","79.4000","884","566.2000","702"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Homeless","60.8000","885","570.7000","538","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59.5000","883","1137.7000","525","79.5000","883","566.4000","702"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","         5","Not Migrant","60.7000","887","570.0000","538","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59.3000","885","1136.6000","525","79.3000","885","565.9000","702"
